permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
PP,Plumbing Permit,2020-020466 PP,Residential,R- 435 Renovations/Remodel,Repair,No,2121 CRAIG PATRICK WAY,Express: bathroom remodel - tub to shower conversion: remove existing bath tub and sheetrock and tile on walls surrounding tub install new walk in tub replace shower pan and onyx shower wall panels replace 2 lavatory faucets replace tub/shower faucet replace valve install new light in new location install 2 independent circuits for walk in tub.,0440250109,LOT 24 BLK A RANCHO ALTO SEC 5,2020-02-11T00:00:00.000,2020-02-24T00:00:00.000,MONDAY,2020,2020,No,Permit Center,Expired,2022-03-03T00:00:00.000,2022-03-01T00:00:00.000,,1,1,1,2121 CRAIG PATRICK WAY,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12410877'},12410877,30.14611412,-97.84361716,"{'latitude': '30.14611412', 'longitude': '-97.84361716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12410875,,,,
BP,Building Permit,2020-006605 BP,Residential,R- 435 Renovations/Remodel,Repair,No,616 KEMP ST,Wheelchair ramp,0304160513,N 50FT OF LOT 4 BLK 2 WILLHOITE SUBD,2020-01-15T00:00:00.000,2020-01-23T00:00:00.000,THURSDAY,2020,2020,No,Permit Center,Final,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,1,1,1,616 KEMP ST,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12394799'},12394799,30.23847104,-97.69657165,"{'latitude': '30.23847104', 'longitude': '-97.69657165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,900,900,900,0,0,0,12394796,,,,
BP,Building Permit,2020-013395 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1100 WAGON TRL,Wheelchair ramp,0247170310,LOT 24 WHITE PLAINS SEC 4 PHS 2,2020-01-29T00:00:00.000,2020-02-03T00:00:00.000,MONDAY,2020,2020,No,Permit Center,Final,2020-02-21T00:00:00.000,2020-02-21T00:00:00.000,2020-02-21T00:00:00.000,1,1,1,1100 WAGON TRL,AUSTIN,TX,78758,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12402636'},12402636,30.38004157,-97.69393456,"{'latitude': '30.38004157', 'longitude': '-97.69393456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12402634,,,,
EP,Electrical Permit,2019-231917 EP,Residential,R- 101 Single Family Houses,New,No,3000 FUNSTON ST,*SMART Housing* *Green Bldg* New 2-story 3 Bedroom 2.5 Bathroom with Ramp in front,0118020308,LOT 1 BRYKERWOODS ANNEX LESS PORT IN ROW,2019-08-02T00:00:00.000,2020-02-04T00:00:00.000,TUESDAY,2020,2020,No,Permit Center,Expired,2022-03-03T00:00:00.000,2022-03-01T00:00:00.000,,,2,1,3000 FUNSTON ST,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12374742'},12374742,30.30411463,-97.75788399,"{'latitude': '30.30411463', 'longitude': '-97.75788399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12374052,,1468,,
MP,Mechanical Permit,2019-151506 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1304 E CESAR CHAVEZ ST,Interior remodel: Demo bath add new bath replace exterior doors and windows repair and replace siding roofing new ramp new parking. Convert duplex  to SFR.,0204060611,LOT 3 BLK 12 OLT 19 DIV O GARY & PECK,2019-07-08T00:00:00.000,2020-01-21T00:00:00.000,TUESDAY,2020,2020,No,Permit Center,Final,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,1446,1,1,1304 E CESAR CHAVEZ ST,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12279912'},12279912,30.25968513,-97.73103649,"{'latitude': '30.25968513', 'longitude': '-97.73103649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,0,,12279906,0,0,,
EP,Electrical Permit,2019-180430 EP,Residential,R- 101 Single Family Houses,New,No,1803 CEDAR AVE,New accessible 2-story sfr with front porch and 2 car carport. Driveway access from alley. 3/3,0210112203,LOT 10 BLK 1 OLT 32&33 DIV B GLENWOOD ADDN,2019-03-04T00:00:00.000,2020-02-13T00:00:00.000,THURSDAY,2020,2020,No,Permit Center,Final,2022-05-11T00:00:00.000,2022-05-11T00:00:00.000,2022-05-11T00:00:00.000,,2,1,1803 CEDAR AVE,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12313830'},12313830,30.280016,-97.71390857,"{'latitude': '30.280016', 'longitude': '-97.71390857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12313824,,2851,,
BP,Building Permit,2020-012267 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,11900 CHARRO DR,Mobile home connect deck 8 x 16  Ramp 64.1/2,0331410420,LOT 1 OAK RANCH SEC 2 SUBD,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,MONDAY,2020,2020,No,Permit Center,Final,2020-03-27T00:00:00.000,2020-03-27T00:00:00.000,2020-03-27T00:00:00.000,86,0,0,11900 CHARRO DR,AUSTIN,TX,78617,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12401284'},12401284,,,,No,0,0,0,0,0,0,,,86,0,
PP,Plumbing Permit,2019-151506 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1304 E CESAR CHAVEZ ST,Interior remodel: Demo bath add new bath replace exterior doors and windows repair and replace siding roofing new ramp new parking. Convert duplex  to SFR.,0204060611,LOT 3 BLK 12 OLT 19 DIV O GARY & PECK,2019-07-08T00:00:00.000,2020-02-10T00:00:00.000,MONDAY,2020,2020,No,Permit Center,Final,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,1446,1,1,1304 E CESAR CHAVEZ ST,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12279913'},12279913,30.25968513,-97.73103649,"{'latitude': '30.25968513', 'longitude': '-97.73103649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,0,12279906,0,0,,
BP,Building Permit,2019-180430 BP,Residential,R- 101 Single Family Houses,New,No,1803 CEDAR AVE,New accessible 2-story sfr with front porch and 2 car carport. Driveway access from alley. 3/3,0210112203,LOT 10 BLK 1 OLT 32&33 DIV B GLENWOOD ADDN,2019-03-04T00:00:00.000,2020-01-29T00:00:00.000,WEDNESDAY,2020,2020,No,Permit Center,Final,2023-10-21T00:00:00.000,2022-10-04T00:00:00.000,2022-10-04T00:00:00.000,,2,1,1803 CEDAR AVE,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12313824'},12313824,30.280016,-97.71390857,"{'latitude': '30.280016', 'longitude': '-97.71390857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,197186,,,,,12148171,,2851,5554,
BP,Building Permit,2019-231917 BP,Residential,R- 101 Single Family Houses,New,No,3000 FUNSTON ST,*SMART Housing* *Green Bldg* New 2-story 3 Bedroom 2.5 Bathroom with Ramp in front,0118020308,LOT 1 BRYKERWOODS ANNEX LESS PORT IN ROW,2019-08-02T00:00:00.000,2020-01-31T00:00:00.000,FRIDAY,2020,2020,No,Permit Center,Expired,2022-05-18T00:00:00.000,2022-05-17T00:00:00.000,,,2,1,3000 FUNSTON ST,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12374052'},12374052,30.30411463,-97.75788399,"{'latitude': '30.30411463', 'longitude': '-97.75788399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,0,,,,,12292006,,1468,4240,
PP,Plumbing Permit,2019-225260 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3619 CLABURN DR,Interior remodel. Remodel Master Bathroom and closet  to increase accessibility with a wheelchair.,0245010237,LOT 8 LANTANA GLEN PHS I-B PLUS 2.3255% INTEREST IN COMMON AREA,2019-11-07T00:00:00.000,2019-12-18T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2020-04-08T00:00:00.000,2020-04-08T00:00:00.000,2020-04-08T00:00:00.000,67,1,1,3619 CLABURN DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12365693'},12365693,30.37353367,-97.74424618,"{'latitude': '30.37353367', 'longitude': '-97.74424618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12365689,0,0,,
BP,Building Permit,2019-239701 BP,Residential,R- 435 Renovations/Remodel,Repair,No,13815 LAKE VIEW DR,Express: Wheelchair Ramp,0160440409,LOT 32-33 COMANCHE TRAIL NO 2,2019-12-20T00:00:00.000,2019-12-20T00:00:00.000,FRIDAY,2019,2020,No,Permit Center,Final,2020-03-20T00:00:00.000,2020-03-20T00:00:00.000,2020-03-20T00:00:00.000,1,1,1,13815 LAKE VIEW DR,AUSTIN,TX,78732,10,AUSTIN LTD,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12383448'},12383448,30.41535275,-97.88897169,"{'latitude': '30.41535275', 'longitude': '-97.88897169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12383429,,,,
EP,Electrical Permit,2019-233855 EP,Residential,R- 435 Renovations/Remodel,Repair,No,8000 SIRINGO PASS,Express permit: bathroom remodel - remove existing bath tub and shower install new shower pan replace valve relocate drain cap supply line new supply line replace ~66 sq ft flooring replace ~80 sq ft wall tile replace ~90 sq ft sheetrock/wediboard add new electric switch and outlet install 2 recessed can lights remove and replace 2 existing lights replace and widen doorway from 24 to 36 install new door jamb replace 2 lavatory faucets replace shower faucet replace vanity cabinets remove and replace existing window with new window of same size and shape,0412380437,LOT 27 BLK AA LEGEND OAKS PHS A SEC 5A,2019-12-09T00:00:00.000,2019-12-18T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2020-02-18T00:00:00.000,2020-02-18T00:00:00.000,2020-02-18T00:00:00.000,1,1,1,8000 SIRINGO PASS,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12376380'},12376380,30.22104015,-97.87640779,"{'latitude': '30.22104015', 'longitude': '-97.87640779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,0,,,12376379,,,,
BP,Building Permit,2019-151506 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1304 E CESAR CHAVEZ ST,Interior remodel: Demo bath add new bath replace exterior doors and windows repair and replace siding roofing new ramp new parking. Convert duplex  to SFR.,0204060611,LOT 3 BLK 12 OLT 19 DIV O GARY & PECK,2019-07-08T00:00:00.000,2020-01-07T00:00:00.000,TUESDAY,2020,2020,No,Permit Center,Final,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,2021-05-20T00:00:00.000,1446,1,1,1304 E CESAR CHAVEZ ST,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12279906'},12279906,30.25968513,-97.73103649,"{'latitude': '30.25968513', 'longitude': '-97.73103649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,55000,55000,55000,0,0,0,12273836,,0,0,
EP,Electrical Permit,2019-151506 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1304 E CESAR CHAVEZ ST,Interior remodel: Demo bath add new bath replace exterior doors and windows repair and replace siding roofing new ramp new parking. Convert duplex  to SFR. Installing HVAC unit.,0204060611,LOT 3 BLK 12 OLT 19 DIV O GARY & PECK,2019-07-08T00:00:00.000,2020-01-16T00:00:00.000,THURSDAY,2020,2020,No,Permit Center,Final,2020-12-14T00:00:00.000,2020-12-14T00:00:00.000,2020-12-14T00:00:00.000,1446,1,1,1304 E CESAR CHAVEZ ST,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12279911'},12279911,30.25968513,-97.73103649,"{'latitude': '30.25968513', 'longitude': '-97.73103649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,0,,,12279906,0,0,,
BP,Building Permit,2019-233855 BP,Residential,R- 435 Renovations/Remodel,Repair,No,8000 SIRINGO PASS,Express permit: bathroom remodel - remove existing bath tub and shower install new shower pan replace valve relocate drain cap supply line new supply line replace ~66 sq ft flooring replace ~80 sq ft wall tile replace ~90 sq ft sheetrock/wediboard add new electric switch and outlet install 2 recessed can lights remove and replace 2 existing lights replace and widen doorway from 24 to 36 install new door jamb replace 2 lavatory faucets replace shower faucet replace vanity cabinets remove and replace existing window with new window of same size and shape,0412380437,LOT 27 BLK AA LEGEND OAKS PHS A SEC 5A,2019-12-09T00:00:00.000,2019-12-18T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,1,1,1,8000 SIRINGO PASS,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12376379'},12376379,30.22104015,-97.87640779,"{'latitude': '30.22104015', 'longitude': '-97.87640779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,42000,42000,42000,0,0,0,12376357,,,,
PP,Plumbing Permit,2019-233855 PP,Residential,R- 435 Renovations/Remodel,Repair,No,8000 SIRINGO PASS,Express permit: bathroom remodel - remove existing bath tub and shower install new shower pan replace valve relocate drain cap supply line new supply line replace ~66 sq ft flooring replace ~80 sq ft wall tile replace ~90 sq ft sheetrock/wediboard add new electric switch and outlet install 2 recessed can lights remove and replace 2 existing lights replace and widen doorway from 24 to 36 install new door jamb replace 2 lavatory faucets replace shower faucet replace vanity cabinets remove and replace existing window with new window of same size and shape,0412380437,LOT 27 BLK AA LEGEND OAKS PHS A SEC 5A,2019-12-09T00:00:00.000,2019-12-18T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,1,1,1,8000 SIRINGO PASS,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12376382'},12376382,30.22104015,-97.87640779,"{'latitude': '30.22104015', 'longitude': '-97.87640779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,12376379,,,,
BP,Building Permit,2019-225260 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3619 CLABURN DR,Interior remodel. Remodel Master Bathroom and closet  to increase accessibility with a wheelchair.,0245010237,LOT 8 LANTANA GLEN PHS I-B PLUS 2.3255% INTEREST IN COMMON AREA,2019-11-07T00:00:00.000,2019-11-21T00:00:00.000,THURSDAY,2019,2020,No,Permit Center,Final,2020-04-08T00:00:00.000,2020-04-08T00:00:00.000,2020-04-08T00:00:00.000,67,1,1,3619 CLABURN DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12365689'},12365689,30.37353367,-97.74424618,"{'latitude': '30.37353367', 'longitude': '-97.74424618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,54420,0,0,0,0,12359156,,0,0,
BP,Building Permit,2019-230893 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1011 BIRD CREEK DR,"Wheelchair ramp unit A 
Per inspector. Ramps built on both A and B sides",0245160605,LOT 29 BLK B QUAIL VALLEY SEC 1,2019-12-03T00:00:00.000,2019-12-03T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,1,1,1,1011 BIRD CREEK DR,AUSTIN,TX,78758,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12372824'},12372824,30.37159203,-97.69833059,"{'latitude': '30.37159203', 'longitude': '-97.69833059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12372823,,,,
EP,Electrical Permit,2019-225260 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,3619 CLABURN DR,Interior remodel. Remodel Master Bathroom and closet  to increase accessibility with a wheelchair.,0245010237,LOT 8 LANTANA GLEN PHS I-B PLUS 2.3255% INTEREST IN COMMON AREA,2019-11-07T00:00:00.000,2019-12-11T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,2020-02-04T00:00:00.000,67,1,1,3619 CLABURN DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12365692'},12365692,30.37353367,-97.74424618,"{'latitude': '30.37353367', 'longitude': '-97.74424618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,0,,,12365689,0,0,,
BP,Building Permit,2019-230929 BP,Residential,R- 435 Renovations/Remodel,Repair,No,6607 SANTOS ST,Wheelchair ramp,0310160101,,2019-12-03T00:00:00.000,2019-12-03T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,1,1,1,6607 SANTOS ST,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12372869'},12372869,30.2270326,-97.69805579,"{'latitude': '30.2270326', 'longitude': '-97.69805579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12372868,,,,
BP,Building Permit,2019-230916 BP,Residential,R- 435 Renovations/Remodel,Repair,No,4811 WOODVIEW AVE,Wheelchair ramp,0225030723,LOT 10 BLK C ROSEDALE ESTATES,2019-12-03T00:00:00.000,2019-12-03T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2019-12-11T00:00:00.000,2019-12-11T00:00:00.000,2019-12-11T00:00:00.000,1,1,1,4811 WOODVIEW AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12372851'},12372851,30.32158135,-97.74324348,"{'latitude': '30.32158135', 'longitude': '-97.74324348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12372838,,,,
EP,Electrical Permit,2019-226212 EP,Residential,Residential,Special Inspections Program,No,5804 TOM WOOTEN DR,Extend existing AFCI protected circuit from adjacent HVAC closet to Water Heater closet to support new water heater installed under 2019-226080 PP. Method to be used is surface mounted conduit & boxes. Wire may be fished through inaccessible spaces.,0138110321,LOT 39 BLK A COURTYARD PHS 2 THE,2019-11-20T00:00:00.000,2019-12-02T00:00:00.000,MONDAY,2019,2020,No,Permit Center,Final,2019-12-05T00:00:00.000,2020-06-01T00:00:00.000,2019-12-05T00:00:00.000,,,,5804 TOM WOOTEN DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12367006'},12367006,30.35479888,-97.78782875,"{'latitude': '30.35479888', 'longitude': '-97.78782875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,400,,,12366859,,,,
BP,Building Permit,2019-217910 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1908 E 22ND ST,Wheelchair ramp unit A,0211090303,LOT 4 BLK 16 OLT 46 DIV B JOHNS C R SUBD,2019-11-05T00:00:00.000,2019-11-12T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,1,1,1,1908 E 22ND ST,AUSTIN,TX,78722,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12357228'},12357228,30.28308415,-97.72112359,"{'latitude': '30.28308415', 'longitude': '-97.72112359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12357226,,,,
MP,Mechanical Permit,2019-180742 MP,Residential,R- 435 Renovations/Remodel,Repair,No,5404 PEPPERTREE PKWY,replace roof for a metal roof replace attic access pull down stairs insulate attic repair leak under kitchen faucet replace hose bibs replace homeowner water shutoff replace kitchen faucet add smoke and Co detectors add GFI to kitchen and bath receptacles repair non functioning outlets and switches bring service panel up to code service mechanical equipment and repair/replace as needed add accessible front entrance weatherize exterior and replace rotting trim.,0418010616,LOT 3 BLK F PEPPERTREE PARK SEC 1,2019-09-06T00:00:00.000,2019-11-13T00:00:00.000,WEDNESDAY,2019,2020,No,Permit Center,Final,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,1,1,1,5404 PEPPERTREE PKWY,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12314233'},12314233,30.19729932,-97.7530534,"{'latitude': '30.19729932', 'longitude': '-97.7530534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,1500,,12314231,,,,
MP,Mechanical Permit,2019-211705 MP,Residential,Residential,Repair,No,6506 HILL OAKS DR,Closet up-flow air handler replacement with new supply plenum into above attic space which is accessible via single story roof gable access door,0408361301,LOT 1A BLK B CONVICT HILL SEC II,2019-10-23T00:00:00.000,2019-10-24T00:00:00.000,THURSDAY,2019,2020,No,Permit Center,Expired,2022-03-03T00:00:00.000,2022-03-01T00:00:00.000,,0,1,1,6506 HILL OAKS DR,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12349716'},12349716,30.23191296,-97.86973334,"{'latitude': '30.23191296', 'longitude': '-97.86973334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
PP,Plumbing Permit,2019-180742 PP,Residential,R- 435 Renovations/Remodel,Repair,No,5404 PEPPERTREE PKWY,replace roof for a metal roof replace attic access pull down stairs insulate attic repair leak under kitchen faucet replace hose bibs replace homeowner water shutoff replace kitchen faucet add smoke and Co detectors add GFI to kitchen and bath receptacles repair non functioning outlets and switches bring service panel up to code service mechanical equipment and repair/replace as needed add accessible front entrance weatherize exterior and replace rotting trim.,0418010616,LOT 3 BLK F PEPPERTREE PARK SEC 1,2019-09-06T00:00:00.000,2019-10-29T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,2019-12-16T00:00:00.000,1,1,1,5404 PEPPERTREE PKWY,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12314234'},12314234,30.19729932,-97.7530534,"{'latitude': '30.19729932', 'longitude': '-97.7530534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,2000,12314231,,,,
BP,Building Permit,2019-203263 BP,Residential,R- 435 Renovations/Remodel,Repair,No,811 W JOHANNA ST,Wheelchair ramp,0401020105,LOT 6 BLK L BOULDIN JAMES E ADDN,2019-10-08T00:00:00.000,2019-10-15T00:00:00.000,TUESDAY,2019,2020,No,Permit Center,Final,2019-10-29T00:00:00.000,2019-10-29T00:00:00.000,2019-10-29T00:00:00.000,1,1,1,811 W JOHANNA ST,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12339667'},12339667,30.24661834,-97.760862,"{'latitude': '30.24661834', 'longitude': '-97.760862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,800,800,800,0,0,0,12339653,,,,
BP,Building Permit,2019-209959 BP,Residential,R- 435 Renovations/Remodel,Repair,No,2004 ANN ARBOR AVE Unit A,Unit A. Wheelchair ramp and landing,0100080531,LOT 17 BLK B CANNIZZO SUBD NO 2,2019-10-21T00:00:00.000,2019-10-21T00:00:00.000,MONDAY,2019,2020,No,Permit Center,Final,2021-05-05T00:00:00.000,2021-05-05T00:00:00.000,2021-05-05T00:00:00.000,1,1,1,2004 ANN ARBOR AVE,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12347647'},12347647,30.25252872,-97.77638294,"{'latitude': '30.25252872', 'longitude': '-97.77638294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,3424,3424,3424,0,0,0,12347640,,,,
