permitnumber,permitnumbercreateddate,issuedate,permitelapseddays,projectvalue,typeofwork,address,projectdescription,permitcategory,propertyuse,specificusecategory,issueyear,geolocalarea,geom,yearmonth,geo_point_2d,latitude,longitude
BP-2020-00783,2020-02-28,2020-08-05,159,400000.0,Addition / Alteration,"2735 COMMERCIAL DRIVE, Vancouver, BC V5N 4C5","High Density Housing / Commercial - Addition / Alteration - Interior and exterior alterations and the addition of approximately 295.0 square feet by enclosing the existing outdoor seating area and to change the use/major occupancy of the existing Neighbourhood Public House (A2) to a Retail Liquor Store (E), (thereby expanding the existing Type-2 Liquor Store to a Type-3 Liquor Store), with a vintage display and sampling area (no seatings permitted), in this existing three storey commercial building on this site. 

VBBL-2019 - Reviewed during the 2020 pandemic crisis.

Revision 1 - Interior changes to the manager's office, cooler door, floor slope, merchandiser, ice machine and vending box (bubbled in red) issued on Dec. 9th , 2020. 

Revision 2 - Accessible ramps and a step at the cashier location issued on Jan. 19, 2022.",,['Retail Uses'],['Liquor Store'],2020,Kensington-Cedar Cottage,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0699246, 49.2601164], 'type': 'Point'}, 'properties': {}}",2020-08,"{'lon': -123.0699246, 'lat': 49.2601164}",49.2601164,-123.0699246
BP-2021-04853,2021-09-16,2021-12-15,90,250000.0,Addition / Alteration,"1676 E 10TH AVENUE, Vancouver, BC","Field Review - Addition / Alteration - Interior alterations to provide improvements for this new retail (cannabis) store.  Approved as per DP-2020-00489

Appeal No. Z35767 was heard by the Board of Variance on May 18th, 2021, and was ALLOWED, overturning the decision of the Director of Planning for interior and exterior alterations and to change the use from Retail, (Limited Food), to a Retail Cannabis Store on the main floor, and retail to ancillary office use on the 2nd storey, in this existing mixed-use building on this site. The approval is for the exclusive use of Burb Cannabis Corp., operated by Stephen Dowsley, and DBA:  “Burb”, and is for a limited period of time expiring on July 23, 2022, unless extended in writing by the Director of Planning.

Scope of work: Install interior walls & doors, install shelving and display cases, accessible washroom, accessible stair lift at front entry stair,  finishing throughout, electrical and plumbing fixtures, and flooring. 

OK for field review as per Rosa Astorino - September 16, 2021

This is not a sprinklered building

Energy Upgrade:
E2 - Lighting - Upgrade to Local Control (per 9.4.1.1.(a) of ASHRAE 90.1-2016)

Note: Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. 
Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Retail Uses'],['Retail Store'],2021,Kensington-Cedar Cottage,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0702077, 49.2613758], 'type': 'Point'}, 'properties': {}}",2021-12,"{'lon': -123.0702077, 'lat': 49.2613758}",49.2613758,-123.0702077
BU462288,2014-08-27,2017-06-13,1021,40000.0,Addition / Alteration,"3870 COMMERCIAL STREET, Vancouver, BC V5N 4G2","High Density Housing / Commercial - Addition / Alteration - Interior and exterior alterations, vertical addition and a change of major occupancy to the ground floor from manufacturing (group F2) to office(group D) and includes the installation of a new elevator, for this existing mixed-use building on this site. The addition is 1,358 s.f. (residential) plus 529 s.f. (office) =1,887.0 s.f. to create a second storey. This building is now considered as a 4 storey Part 3 building per VBBL 2007.
Note:
Entire building to be fully sprinklered to NFPA 13 requirements.
CONTACT CRP:  Douglas L. Massie, 604.264.1450
E-mail:  dmassie@shawlink.ca
Related to DE418191
Note:
""This permit has been reviewed under the 2007 Vancouver Building By-law (#9419).""

Revision No. 1    Nov. 21, 2016   W.Ng.  Related to DP-2016-00247.
1) Revise interior layout as per attached revised drawing and adding 284 s.f. to the 2nd floor
2) Adding a 525 s.f covered area on the 3rd floor.
3) Include electrical drawing for fire alarm system.

Revision #2:   June 08, 2017
1) Delete wheel chair lift on the ground floor and provide ramp.
2) Propose spray foam insulation to the north and south exterior concrete block walls.
3) Change elevator enclosure. See Alternate Solution. A.L. #2017-00338 and also see letter from Owner on file.",,,,2017,Kensington-Cedar Cottage,"{'type': 'Feature', 'geometry': {'coordinates': [-123.067707, 49.2505403], 'type': 'Point'}, 'properties': {}}",2017-06,"{'lon': -123.067707, 'lat': 49.2505403}",49.2505403,-123.067707
BP-2025-04330,2025-10-06,2025-12-12,67,1282487.78,Addition / Alteration,"401 W GEORGIA STREET, Vancouver, BC V6B 5A1","Field Review - Addition / Alteration - #1600, 1620, 1650, 1690 - 401 W Georgia 

Interior alterations to combine units 1620 and 1690 for existing internal amenity fitness areas and alterations to change the use of units 1650  from general office to amenity space on the 16th floor of this existing commercial building on this site.

Amenity space to be used by the tenants of the building only.

Scope of work includes: new partitions, millwork, new lighting, new ceiling, new HVAC, flooring.

Okay for Field Review as per Shawn Dyste September 24, 2025

Revised # 1 - Feb 5, 2026
- Add doors to shower room, women's and men's washroom vestibules
- Upgrade lift lobby furring walls
- Add glass guard rail and platform step
- Add 1.32m x 2.68m ramp 
- Increase corridor width to pantry
No increase on value of work

Letter of Assurance:
Sch A & Sch B (Arch) - Andrew J. Igel, AIBC, 778-839-4260
Sch B (Elec) - Shabnam Shamsolkotabi, P Eng, 604-609-0500 | shabnam@flowengineering.ca
Sch B (Mech & Plbg) - Riley J MacNeill, P Eng, 604-609-0500 | riley@flowengineering.ca",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2025,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.114603, 49.28134], 'type': 'Point'}, 'properties': {}}",2025-12,"{'lon': -123.114603, 'lat': 49.28134}",49.28134,-123.114603
BP-2020-01023,2020-03-12,2020-09-04,176,142000.0,Addition / Alteration,"2405 GRANVILLE STREET, Vancouver, BC V6H 3G5","Field Review - Addition / Alteration - Interior alterations to validate the existing improvements from a previous Retail Store use for this new Retail Store tenant at 2415 Granville Street at this existing commercial building.

Note: 'NEW' awning and signage to be validated with separate permit.
Wwop - permit dbl fee/Peng docs required, fabric & electrical installation to comply. DBI-SE

OK for field review as per Howie Chow, March 12, 2020.

Energy upgrade exempt.

Revision #1:
To combine the retail space at 2415 Granville Street with 2405 and 2401 Granville Street into one Retail Store use, retaining 2405,  which includes new stairs, and to renovate a new washroom to meet barrier free requirements, and to revise the lighting layout

Revision #2:
To Update the original retail space to comply with ASHRA90.1 2016. Fixtures upgraded, to add temperature valve to lavatory tax fixture, and Structural confirmation of seismic non-structure and seismic construction elements, to provide Barrier-free door openers at street entrances, and confirmation of adequate fire rating at floor between mercantile and residential occupancies, and existing columns.

Revision #3:
To change the door swing of main entrance door to swing in the direction of egress and to correct handrail extension to meet code requirements.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Retail Uses'],['Retail Store'],2020,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1389482, 49.2643069], 'type': 'Point'}, 'properties': {}}",2020-09,"{'lon': -123.1389482, 'lat': 49.2643069}",49.2643069,-123.1389482
BP-2019-03717,2019-08-20,2019-11-20,92,226940.0,Addition / Alteration,"1975 PENDRELL STREET, Vancouver, BC V6G 1T6","High Density Housing / Commercial - Addition / Alteration - Interior alterations to replace existing single-stage conventional fire alarm system with new addressable singe stage system and to provide modernization of existing elevator to allow for elevator recall from ground to 6th floor & penthouse of this existing multiple dwelling residential building for CSA-B44 upgrade.     

Scope of work:
- Replace existing conventional FACP with new addressable single stage system and replace existing fire alarm annunciator to show automatic emergency elevator recall zones.
- Upgrade electrical equipment for elevators in the machine rooms to suit new elevator power requirements.
- Install new geared machines, wiring & traveling cable, equipment for ascending over-speed protection, door operator, elevator cab interior finishes and operating fixtures. 
- Install new relays and upgrade existing FAS initiation devices to addressable type and to allow for activation of the automatic emergency elevator recall sequence. 
- Programming of Elevator Recall and FEO functions.

Building Review Branch Notes:
- Existing Fire-rated door removed on ground floor elevator lobby to be reinstated and to maintain the required fire separation as confirmed on Arch. dwg. sheet A101, signed & sealed by D. Hawreluk, P. Eng.
- Schedule B - Arch. submitted by E. M. Peterson, P. Eng. and D. Hawreluk, P. Eng. Schedule B - Elec. submitted by A. J. Franklin, P. Eng. 
- Schedule A submitted by E. M. Peterson, P. Eng.
- Automatic emergency recall (main - ground floor [principle entrance of the building], alternate - Level 1 [2nd-storey per VBBL])",,['Dwelling Uses'],['Multiple Dwelling'],2019,West End,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1430636, 49.2898339], 'type': 'Point'}, 'properties': {}}",2019-11,"{'lon': -123.1430636, 'lat': 49.2898339}",49.2898339,-123.1430636
BP-2020-03877,2020-12-07,2021-04-16,130,525000.0,Addition / Alteration,"515 W 10TH AVENUE, Vancouver, BC V5Z 4A8","Field Review - Addition / Alteration - To provide for the replacement of an existing generator and a new fuel tank which is to be located in two (2) existing handicap accessible parking spaces at the bottom of the entry ramp to Parking Level P1 at this existing VanCity Building.

OK for field review as per Ed Loney, December 7, 2020.

OK to process as BP only and to occupy the two (2) existing handicap parking spaces with the new equipment as per Andrew Wroblewski, December 7, 2020.

Schedule A (CRP) & Schedule B (Electrical), Dave Hans P. Eng, 604-474-4080
Schedule B (Mechanical & Plumbing), Alberto Bicol P. Eng, 778-998-9651

OK for field review as per Howie Chow, December 7, 2020.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2021,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1155124, 49.2625211], 'type': 'Point'}, 'properties': {}}",2021-04,"{'lon': -123.1155124, 'lat': 49.2625211}",49.2625211,-123.1155124
DB-2018-00527,2018-02-01,2018-06-12,131,400000.0,Addition / Alteration,"3646 W 5TH AVENUE, Vancouver, BC V6R 1S2","Low Density Housing - Addition / Alteration - Exterior and interior alterations to renovate this existing one-storey & basement one-family dwelling and convert to a two-family dwelling with two parking spaces provided in detached garage and parking pad with access from South lane. Scope of work includes new garage, replace foundation and lower basement floor for increased headroom, renovation to both floors, addition of infill areas, removal of rear carport structure.

DWELLING WILL BE SPRINKLERED TO NFPA 13D

Scope of work to include energy and building upgrades in accordance with Article 11.2.1.4 of the 2014 Vancouver Building By-law and as required by the District Building Inspector. This includes air sealing. BUILDING ENVELOPE WILL BE UPGRADED TO MEET INSULATION REQUIREMENTS OF VBBL 2014.

Schedule B (Structural and Geotechnical) submitted by Jeff Allester, P.Eng, 604-228-0518
Energuide report only submitted by City Green Solutions dated Jan 19, 2017.


Notes:
1. Building depth and floor area relaxed; OK for DB as per B Ostrander, May 2, 2018
2. Over-sized detached garage accepted for accessible parking space and enhanced accessibility.
3. Basement dwelling unit approved for Aging-in place with an attached caregiver suite only. Permits will be required for future conversion of basement to a single dwelling unit.
4. Related to SW-2018-00612 and SU-2018-01514
5. Single bar sink in basement eating area.
6. Address assigned per approved plans, Fire and Emergency street access (walkway) to the lower unit is from the east side. Street access must be provided and maintained at all times and the building addresses posted to be visible from the street in accordance with the Building By-law.
7. AC unit in rear",,['Dwelling Uses'],['Duplex'],2018,Kitsilano,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1845703, 49.2674883], 'type': 'Point'}, 'properties': {}}",2018-06,"{'lon': -123.1845703, 'lat': 49.2674883}",49.2674883,-123.1845703
BP-2024-03051,2024-08-12,2024-10-04,53,320000.0,Addition / Alteration,"1152 MAINLAND STREET, Vancouver, BC","Field Review - Addition / Alteration - Interior alterations only to provide tenant improvements for a Health Care Office tenant on the 2nd floor (#224) in this existing Vancouver Heritage Register 'B' commercial building.
 
Ok for Field Review per J. Zhang, Aug 13, 2024

Rev #1
- New layout update, increase size of reception desk, kitchen wall adjusted 6"" toward North to align with existing element on ceiling, new dimensions for massage & private physio room and front glazing wall changed for new wall W1, millwork, finishes, new walls & doors. 
- New layout changes to open treatment & gym area and window shifted to reception, revise lighting & electrical work, new sink design for barrier free washroom, new accessible washroom.  
- Increase construction cost of 60,000.00",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['Health Care Office'],2024,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1211485, 49.2748584], 'type': 'Point'}, 'properties': {}}",2024-10,"{'lon': -123.1211485, 'lat': 49.2748584}",49.2748584,-123.1211485
BP-2025-03578,2025-08-11,2025-08-18,7,50000.0,Addition / Alteration,"499 BROUGHTON STREET #302, Vancouver, BC V6G 3K1","Direct to Inspections - Addition / Alteration - 302 - 499 Broughton Street

Interior alterations to provide residential improvements to unit 302 on the 3rd level of this existing multiple dwelling building on this site.

Scope of work includes updates to the closet, washroom door changing from swing to pocket door, remove wall between vanity and toilet, relocation of sink in bathroom, tub removed to create an accessible shower, wall reinforcement in the bathroom for grab bars, new flooring, tiled walls, millwork, lighting, plumbing fixtures and accessories, new engineered hardwood flooring throughout except for the kitchen, entry foyer, fireplace surround and bathrooms.

Okay for DTI as per Isidora C. August 11, 2025.",Renovation - Residential - Lower Complexity,['Dwelling Uses'],['Dwelling Unit'],2025,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1271818, 49.2905924], 'type': 'Point'}, 'properties': {}}",2025-08,"{'lon': -123.1271818, 'lat': 49.2905924}",49.2905924,-123.1271818
BP-2018-01158,2018-03-05,2019-11-13,618,200000.0,Addition / Alteration,"791 E 27TH AVENUE, Vancouver, BC V5V 2K8","High Density Housing / Commercial - Addition / Alteration - Interior & exterior alterations to this existing church to replace the existing entrance at the south west corner with a new entrance foyer and provide interior renovations.

Scope of work includes:
- Minor horizontal addition to the 1st storey including addition of storage rooms, expansion of entrance foyer with LULA elevator.
- Minor renovation to add storage room and accessible water closet in the 1st storey.
- Minor horizontal addition to the 2nd storey including expansion of the entrance with elevator and reconfiguration of the entry stairs from E. 27th Ave.

Max. Occupant Load = 678

Related to DP-2017-00824

Building Review Branch Note:                                                                             
- This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).
- Part 11 upgrade mechanisms:  F2, S2, N2, A2, E2.
- Accessible washroom shall conform to 3.7.2.10.

Revision 1 - Changes per M/A DP-2022-00621 - issued August 15, 2023
Scope includes:
- Basement Addition in the SE corner of building has been removed from scope.
- The Entry way addition has been lowered in height to match the existing height.
- The lift shaft has been moved to a location inside the existing building.
- The proposed awning over the basement exit stair has been removed from scope.
- A new doorway will be added at grade to provide entry directly into the lift.
- One interior wall on the main level will be moved to accommodate the lift shaft.
- Change of Structural Engineer.",,['Institutional Uses'],['Church'],2019,Kensington-Cedar Cottage,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0881906, 49.2467264], 'type': 'Point'}, 'properties': {}}",2019-11,"{'lon': -123.0881906, 'lat': 49.2467264}",49.2467264,-123.0881906
BP-2018-00843,2018-02-16,2018-11-02,259,35320650.0,New Building,"124 DUNLEVY AVENUE, Vancouver, BC V6A 3T6","Certified Professional Program - New Building - To develop a 11-storey mixed-use building with a Social Service Centre on the ground floor (Level 1) and 213 Dwelling Units for Social Housing, including 140 Micro Dwelling units at Levels 2-11, all over one level of underground parking, having vehicular access from the lane

Full Construction.

Revision #1: to add a glass screen to residential balconies (units 202,309,1109) and to enclose accessible ramp and Evelyne Saller Centre entry with overhead door and gate. (issued May 17,21)
Change of geotechnical EOR: L.C. Packer replaced Gunther Yip as of 2019.",,"['Cultural/Recreational Uses', 'Dwelling Uses']","['Multiple Dwelling', 'Community Ctr./Neighbourhood House']",2018,Strathcona,"{'type': 'Feature', 'geometry': {'coordinates': [-123.094827, 49.283746], 'type': 'Point'}, 'properties': {}}",2018-11,"{'lon': -123.094827, 'lat': 49.283746}",49.283746,-123.094827
