OBJECTID_1,join_OBJECTID,CUSTOMFOLDERNUMBER,FOLDERDESCRIPTION,FOLDERNAME,FOLDERTYPE,Subtype,Worktype,INDATE,ISSUEDATE,PROPERTYRSN,Status,Construction_Value,Dwelling_Units_Created,GFA,GFA__Accessory_Unit_,GFA__Basements_Alterations_,Infill_Lot,ConstructionStartDate,UnitsDemolished,AdjustedWorktype,StatusGroup,GlobalID,Number_of_Storeys,LEGALDESC,latitude,longitude
912,2525652,2016 000083 000 00 CN,"Interior alterations and small addition to existing unit.  Demolition and relocation of staircase between ground and second floors.  Fire separation between ground and second floors to create separate units - ground floor retail (50.7m2), second floor office (50.7m2).  Plumbing and mechanical on ground floor including new barrier free washroom.  Extension of glass storefront (new area added is 2.6m2).",229 Lakeshore Road E,CN,Multi-Use/Multi-Storey E,Addition,1453766400000,,24662,Cancelled,40000,,2.6,,,,,,Addition,Cancelled,87faf6b3-5f68-4e99-888e-6384d3e5806b,2,PLAN 1 BLK 7 PT LOT F   ,43.44643060037623,-79.66792065095034
937,2551847,2023 138423 000 00 RN,"Construction of a 2 storey single dwelling with attached garage, covered porch, both side yard entrances, rear covered veranda, rear covered main floor bbq balcony; finished basement with walk-up entrance, elevator and fireplace.",76 Pebbleridge Pl,RN,Single Family Detached Dwelling,New Const.,1702425600000,2024-03-04,121805,Closed,1300000,1,553.19,215.35,0,No,1712707200000,,New Construction,Closed,c10cd22d-f7a8-47b4-b84d-1cfbcf30af57,2,PLAN M1248 LOT 16 RP 20R22193 PART 10,43.43167581547961,-79.6818321579078
949,2534255,2023 112663 000 00 RN,Construct a 2 storey side addition to house an elevator shaft.  ,262 King St,RN,Single Family Detached Dwelling,Addition,1685923200000,2023-06-26,117462,Issued,150000,0,10.81,0,0,Yes,1692144000000,,Addition,Permit Issued,a919fc05-e0ac-45e3-9b93-53a488a44250,2,PLAN 1 PT BLK 24 PT LOT B RP 20R20862 PART 1,43.44544008330514,-79.66418417923614
1111,2552064,2025 130176 000 00 BDP,"Construction of a new single-family dwelling with attached garage, ramp going down to the basement from garage for a car showroom/museum, basement finish, elevator, covered porches and a covered patio in rear yard.",3308 Lakeshore Road W,BDP,House - Part 9 - Detached House,New Construction,1763510400000,2026-04-14,14172,Issued,3500000,1,911.34,652.52,0,Yes,,,New Construction,Permit Issued,3f459aef-79a5-45fd-8d69-b9ce64f73fc5,2,CON 4 SDS PT LOT 33   ,43.37958793202881,-79.71676430856822
1269,2555886,2016 001420 000 00 AA,Waterproofing and concrete repairs to underground parking garage and ramp (2000m2).  No GFA added.,1240 Marlborough Court Unit 110,AA,Condominium Apartment,Alt./Improve,1471305600000,2016-08-19,36123,Issued,484000,0,2200,,,No,,,Renovation & Repair,Permit Issued,52f1c677-337e-4910-bdd0-0c57974bb518,,HALT CONDO PLAN 120 LEVEL 1 UNIT 1  ,43.46664339656641,-79.69261713124091
1309,2556641,2025 108371 000 00 BDP,"Tenant fit-out to convert Bay 3 of existing Brewery/Warehouse into restaurant, event space and retail store with new outdoor patio, new mezzanine above kitchen, new rear entrances with landing, stairs and an accessible ramp.",1165 Invicta Drive,BDP,Restaurants,Addition to an existing building,1761004800000,,50463,Resubmission Under Review,3500000,,71.29,,,,,,Addition,Permit in Progress,cd5d2b1a-c495-47f7-b604-eaa28e29bde5,1,PLAN 608 LOT 8 PT LOT 9 RP 20R7525 PART 1 RP 20R23032 PART 1,43.47465018927009,-79.67629945264909
1552,2538592,2016 000790 000 00 SA,Interior alterations for accessibility upgrades to existing staff washrooms on first floor (19.54m2).  No GFA added.,2220 Lakeshore Road W,SA,Nursing Home,Alt./Improve,1462838400000,2016-06-29,10901,Closed,39080,,19.54,,,,,,Renovation & Repair,Closed,cc126519-c8cf-4168-aa7d-55dfd7f5b20f,,"CON 4 SDS PT LOTS 27,28   ",43.39945589945426,-79.70526764781695
1656,2554507,2015 001372 000 00 TH,"New Townhouse - &quot;The Linden&quot; -  Interior unit. 3 Bedroom. This lot elevation &quot;B&quot;  (211.54m2), finished basement (23.61m2), attached garage (57.00m2), covered porches (2.20m2), complete with 2 decks. Options: with elevator. Includes water service inspection fee.",2183 Lillykin St Block K - Lot 107,TH,Row or Town House,New Const.,1439424000000,2015-11-05,108663,Closed,381000,1,211.54,,,No,1447718400000,,New Construction,Closed,77c6c83e-e1a0-417e-b5e4-a27a21e0e4a9,,PLAN M1162 PT BLK 8 RP 20R20529 PARTS 79 AND 118,43.47893371610109,-79.70913930920085
1971,2558402,2016 000026 REV 03 AA,REVISON 03 - Revise dimensions of proposed access ramps and stairs - No GFA added.,2375 Bronte Rd,AA,Condominium Apartment,Alt./Improve,1535673600000,2018-10-17,104956,Closed,0,0,0,,,No,,,Renovation & Repair,Closed,72cb10e5-4080-4615-8e5c-cc367f6e18a1,,HSCP ???,43.431892069529894,-79.77219039484571
1972,2558402,2016 000026 REV 01 AA,REVISION TO PERMIT:  Add two (2) barrier free entrance ramps to exterior of building.  No additional GFA.,2375 Bronte Rd,AA,Condominium Apartment,Alt./Improve,1464652800000,2016-07-12,104956,Closed,5000,0,0,,,No,,,Renovation & Repair,Closed,b53cff1f-21f5-4d5e-937f-d9a48bbc30e9,,HSCP ???,43.431892069529894,-79.77219039484571
1973,2558402,2016 000027 REV 02 AA,REVISON 02 - Revise dimensions of proposed access ramps and stairs - No GFA added.,2393 Bronte Rd,AA,Condominium Apartment,Alt./Improve,1535673600000,2018-10-17,104957,Closed,0,0,0,,,No,,,Renovation & Repair,Closed,21e4648a-998c-426b-845e-0fea5fcb3819,,HSCP ???,43.431892069529894,-79.77219039484571
2223,2495552,2016 000063 REV 01 RA,"REVISION:  Changes in setbacks, reduce size of rear porch and enlarge wood deck, widen garage (44.47m2), addition of elevator and minor interior layout changes (293.57m2).  ",232 Sabel Street,RA,Single Family Detached Dwelling,Alt./Improve,1471564800000,2016-08-29,9770,Closed,5000,0,0,,,Yes,,,Renovation & Repair,Closed,6ec94732-3632-4d56-a8bf-227a39f2e660,,PLAN 684 LOT 108   ,43.4060625470117,-79.70705329319568
2249,2523293,2016 002092 000 00 CA,"Interior alterations to existing retail space, new barrier free washroom (391.54m2).  HEALTHY PLANET.  No additional GFA.",210 North Service Road W,CA,Store,Alt./Improve,1477267200000,2017-01-16,481,Closed,100000,,391.54,,,,,,Renovation & Repair,Closed,787f6bea-b2bb-4e95-b88e-29c0a421ac5c,,"CON 2 SDS PT LOTS 17,18 RP 20R5959 PARTS 3,4  ",43.44915305631199,-79.70129811199872
2718,2553165,2021 133199 000 00 RA,Interior alterations to add an elevator.,2451 Sylvia Dr,RA,Single Family Detached Dwelling,Alt./Improve,1637625600000,2021-11-25,98216,Issued,5000,0,8,,,No,,,Renovation & Repair,Permit Issued,34e62ba8-7171-4410-becb-09d4cd4339e6,,PLAN M997 LOT 6,43.49955317840983,-79.70521190998028
2809,2551845,2024 156648 000 00 RN,"Construction of a 2 storey single dwelling with attached garage, front and rear covered porches, finished basement with Walk-out and Walk-up with retaining wall, gas fireplaces with exterior chimney bump-outs, elevator, and garage side yard doorway - Princess Margaret Cancer Foundation.",60 Pebbleridge Pl,RN,Single Family Detached Dwelling,New Const.,1704844800000,2024-02-12,121803,Closed,4000000,1,253.69,170.45,0,No,1708560000000,,New Construction,Closed,d25dd0ff-4f76-4314-958a-7c67ae2817b9,2,PLAN M1248 LOT 14 RP 20R22193 PART 8,43.4312743779324,-79.68126370178192
2851,2486380,2015 001390 000 00 SA,Installation of new doors and barrier free operators and relocation of door on first floor washroom.  No GFA added.  OAKVILLE TRAFALGAR SCHOOL,1460 Devon Road,SA,Secondary School,Alt./Improve,1439856000000,2015-10-01,52976,Closed,38905,,10,,,,,,Renovation & Repair,Closed,480eddab-755f-41ca-915e-2ebd1d453f46,,PLAN M91 BLK A   ,43.47254293244845,-79.65393513700147
2879,2524351,2017 001531 000 00 RA,"Installation of a residential elevator, second floor laundry room renovations, enlargement of attached garage (56.32 m2)  ",153 Dianne Avenue,RA,Single Family Detached Dwelling,Alt./Improve,1501804800000,2017-09-21,42113,Closed,20000,0,20.43,,,No,,,Renovation & Repair,Closed,9aa491d4-9a35-4463-8885-a257e117aede,,PLAN 718 LOT 4   ,43.45991922237785,-79.65567282732083
2990,2532530,2017 000636 REV 01 CA,"REVISION TO PERMIT: Removing push button access to front door for Barrier Free Design.  No other work proposed, no additional GFA.",2501 Third Line - Unit D10,CA,Restaurant E <30 persons,Alt./Improve,1501459200000,2017-08-08,68299,Closed,0,,0,,,,,,Renovation & Repair,Closed,e7ec2ae9-287a-4b2f-8bd3-d28f040d22b6,,PLAN M787 BLK 228,43.4499242807788,-79.7583272837436
3169,2527303,2025 110507 000 00 BDP,Stairs from an existing front porch is removed and a new ramp added in front yard of an existing house.,106 Chalmers Street,BDP,House - Part 9 - Detached House,Addition to an existing building,1745884800000,2025-05-08,15411,Issued,20000,0,12.5,0,0,Yes,1760572800000,,Addition,Permit Issued,c395dc73-4742-4649-960b-48fb2c505b23,1,PLAN M219 LOT 34   ,43.384218110117594,-79.71861934172406
3172,2527303,2024 205111 000 00 RA,"Interior Alterations: Kitchen and main floor reconfiguration, proposed rear sliding door, new curbless shower, proposed ensuite, relocated bedroom, and proposed lift. Replace HVAC trunks, existing furnace to remain.",106 Chalmers St,RA,Single Family Detached Dwelling,Alt./Improve,1720742400000,2024-08-06,15411,Closed,150000,0,95.08,,,No,,,Renovation & Repair,Closed,8da1ab9e-7d50-44b7-89ac-e9464376a1ef,,PLAN M219 LOT 34   ,43.384218110117594,-79.71861934172406
3257,2501092,2019 001880 REV 01 CA,REVISION:  Removal of the public washrooms in the basement; provide an elevator machine room; and an updated seismic classification (based on seismic report).,2172 Speers,CA,Office Multi-Storey,Alt./Improve,1597881600000,2021-02-04,119930,Issued,0,,0,,,,,,Renovation & Repair,Permit Issued,ec9cdb78-dc97-45e4-a35f-d7f4a242168b,,PLAN 821 PT LOTS 1 TO 5 RP 20R16538 PART 2   ,43.41402157478707,-79.7199268268624
3284,2522590,2012 000612 REV 03 RA,Revision to permit: Changes to interior guards/handrails,410 Fourth Line,RA,Single Family Detached Dwelling,Alt./Improve,1454025600000,2016-02-11,6472,Closed,0,0,0,,,No,,,Renovation & Repair,Closed,318cc19b-f087-47c6-b81f-0821254b15f1,,PLAN 350 LOT 74   ,43.427253126021085,-79.6945833349825
3324,2513693,2024 219869 REV 01 BDP,"REVISION TO EXISTING PERMIT - 24-219869
(Front porch ramp removed and 2 windows added to Primary Bedroom with door/juliette balcony removed)",417 Callaghan Crescent,BDP,House - Part 9 - Detached House,Alteration/repair OR Alteration/finish to an existing building,1752796800000,2025-08-07,5382,Closed,10000,0,1,1,0,,,,Renovation & Repair,Closed,0f2db5ce-3a27-4aa7-9609-78cc06c1d22b,,PLAN M411 LOT 27   ,43.46581709995263,-79.73020516072391
3449,2498699,2016 002211 000 00 TH,"Interior alterations to existing townhouse on all floors (257.00m2), new location of stairs and new elevator , replace and enlarge doors at rear of dwelling.  No additional GFA.",38 Walker Street,TH,Row or Town House,Alt./Improve,1478476800000,2017-01-13,25571,Closed,60000,0,257,,,No,1487721600000,,Renovation & Repair,Closed,a0184122-6413-48f6-85e7-d012a47315be,,"PLAN 1 PT RESERVE D,E RP 20R7630 PARTS 5,27,28,29, 73 ",43.43896235752195,-79.66962161779217
3451,2499858,2022 107942 000 00 FR,Replacement of fire alarm control panel in main electrical room on first floor.  Install two smoke detectors on main floor (elevator machine room and elevator lobby) and one on second floor (at elevator lobby) to accommodate elevator modernization.  All other devices to remain.  No GFA added.,2191 Sixth Line,FR,Rental Apartment,Fire Retrofit,1649721600000,2022-04-14,3563,Issued,20941,,0,,,,,,Renovation & Repair,Permit Issued,d1ad47d3-170c-4190-92a5-317b27d3cefc,,"CON 1 SDS PT LOT 16 RP 20R7391 PARTS 1,2,3,6,10, 11 ",43.46963227826096,-79.71893860154796
3612,2554090,2023 153922 000 00 RN,"REPEAT to 23-139123 &ndash; TBSD4222, 4 bedrooms
Construction of a 3-storey detached dwelling (2 story w/Loft) includes partially finished basement; gas fireplace on main level, double car garage, and a rear 3rd floor balcony. 
Lot 31 &ndash; Elevation B, opt chosen:  Cold cellar, elevator and 3rd Floor Loft Retreat &ndash; no deck.",3289 Mariner Pass,RN,Single Family Detached Dwelling,New Const.,1701648000000,2024-04-29,124610,Closed,400000,1,310.68,76.01,0,No,1714694400000,,New Construction,Closed,e120600f-e4bb-4946-a54c-1c6c086e2b24,3,PLAN M1272 LOT 31,43.4848743160588,-79.74279637570244
3959,2492665,2017 000166 000 00 RA,"Interior alterations to existing townhouse (basement, ground, second and third floors).  Two new furnaces.  New insulation (garage ceiling).  Installation of elevator in existing rough-in opening.  No modifications to existing building envelope (255.2m2).",73 Thomas Street,RA,Row or Town House,Alt./Improve,1486598400000,2017-04-03,54740,Closed,400000,0,255.2,,,Yes,,,Renovation & Repair,Closed,b11292fa-5ff6-446d-a6a3-8121903d2bea,,"PLAN 1 BLK 14 PT LOT A RP 20R11137 PARTS 3,6,11  ",43.44445701988975,-79.66780962525371
3975,2554444,2023 109574 000 00 TH,"REPEAT of Model Type C - Interior Unit from Permit 23-109559, Block A - Unit 7 
3 Storey single dwelling Townhouse, attached rear lane garage with amenity balcony above garage and covered porch,  4 Bedrooms with finished basement and Elevator.
",2272 Sovereign St,TH,Row House - Condominium,New Const.,1685059200000,2024-02-14,113789,Conditional,500000,1,299.5,71.5,0,No,1708992000000,,New Construction,Occupancy Granted,fdaaab54-765d-47e5-bda2-ebe75d2cc289,3,PLAN M1265 PT BLK 1 RP 20R22769 PART 7,43.399370163410154,-79.7082367009454
3988,2492908,2024 104392 000 00 CN,"Proposed addition to existing elevator shaft to accommodate larger elevator cab (no change in overall height proposed).Interior alteration to shell space to create new retail space. Basement to 3rd floor levels will change use from office to retail. Fourth floor will remain office use.  Proposed new stair opening and stair from 2nd to 3rd floors, extending existing stair connecting ground floor to second. Removal of washrooms in basement. Upgrading existing washroom to universal washroom (2nd floor).",75 Navy St,CN,Multi-Use/Multi-Storey E,Addition,1708992000000,2024-08-16,25159,Issued,750000,,9,,,,,,Addition,Permit Issued,d57c8e31-c810-41a5-848c-6063f4ff7aa6,4,PLAN 1 BLK 13 PT LOT A RP 20R9403 PART 1  ,43.44362374311671,-79.66874033108054
4354,2554473,2015 001368 000 00 TH,"New Model Townhouse - &quot;The Riverstone&quot; -  End unit. New 3 bedroom townhouse (219.84m2), finished basement (23.97m2), attached garage (58.30m2), covered porches (2.20m2), complete with 2 decks and standard elevator. Includes water service inspection fee.",2175 Lillykin Street Block K - Lot 103,TH,Row or Town House,New Const.,1439424000000,2015-11-04,108659,Closed,428620,1,219.84,,,No,1447718400000,,New Construction,Closed,5accc6fb-9129-40db-bb48-bbc8cb239398,,PLAN M1162 PT BLK 8 RP 20R20529 PARTS 75 AND 122 ,43.47874583247029,-79.70905143192336
4356,2492767,2023 124236 000 00 TH,3 Storey rear Addition: Elevator Shaft,75 George St,TH,Row or Town House,Addition,1694476800000,2023-11-05,61644,Issued,150000,0,14.75,0,0,No,1702425600000,,Addition,Permit Issued,3967ed99-5e50-48d6-9e3d-94eeaa32a091,,PLAN 1 BLK 15 PT LOT A RP 20R10448 PART 2  ,43.44531547035825,-79.66698673993017
4602,2514044,2015 001197 000 00 CA,Installation of maglock on 3rd floor elevator lobby doors,2060 Winston Park Drive,CA,Office,Alt./Improve,1438128000000,2015-09-03,75082,Closed,,,0,,,,,,Renovation & Repair,Closed,feef71ce-ebde-4aad-93a0-bab62324306c,,PLAN M467 PT BLK 15 RP 20R14015 PARTS 1 TO 9,43.50806622748041,-79.67061647582213
4692,2484398,2016 002366 000 00 CA,"Installation of new elevator, replacement of plumbing fixtures and alterations to create new offices (158.46m2). No additional GFA.",2845 Bristol Circle,CA,Office,Alt./Improve,1479772800000,2017-03-14,69796,Closed,300000,,158.46,,,,,,Renovation & Repair,Closed,4429a96d-ffa6-416c-8793-89cfaa2dc466,,"PLAN M539 PT BLK 2 RP 20R14008 PARTS 1,3",43.50413261168918,-79.67761358224128
4795,2554443,2023 109587 000 00 TH,"REPEAT of Model Type B - Interior Unit from Permit 23-109556, Block A - Unit 8 
3 Storey single dwelling Townhouse, attached rear lane garage with amenity balcony above garage and covered porch, 3 Bedrooms with finished basement and Elevator.
",2270 Sovereign St,TH,Row House - Condominium,New Const.,1685059200000,2024-02-14,113790,Conditional,500000,1,300.5,71.5,0,No,1708992000000,,New Construction,Occupancy Granted,c31c2b36-2dce-46f5-a0fc-a4e3a090a6b0,3,PLAN M1265 PT BLK 1 RP 20R22769 PART 8,43.3994188884188,-79.70818432553948
4930,2551881,2022 111747 000 00 DA,"Upgrade of the Ninth Line Wastewater Pumping Station to meet future flow demands. Process upgrades to include replacement of existing pumps, refurbishment and/or replacement of existing valves and process piping. Electrical upgrades to include new electrical supply, including new pad mounted transformer, outdoor generator in a standalone enclosure, MCC, automatic transfer switch, sensors, and VFDs. Structural and architectural work to include doors, windows, repairs to the wet/dry wells/building envelope, and new lift systems. No GFA added. ",1541 Lakeshore Rd E,DA,Bldg. 5000 sqft or less F1,Alt./Improve,1653868800000,2022-09-10,42936,Issued,4000000,,606.3,,,,,,Renovation & Repair,Permit Issued,e24c80fa-4491-42f1-8a46-286d4aa0d7ca,,CON 3 SDS PT LOT 6 RP 20R22213 PART 1,43.46854637960301,-79.6443372248081
4937,2523917,2018 001272 000 00 SA,Proposed interior alterations to child care facility (10m2) to construct new partition wall in existing coat room to create two new washrooms. Installation of door operator and actuators for existing barrier free washroom. Sharlaur Children&apos;s Centre Inc. No GFA added.,203 Georgian Drive,SA,Day Care Center,Alt./Improve,1532908800000,2018-10-15,70225,Closed,20000,,10,,,,,,Renovation & Repair,Closed,02ff95b7-746b-4049-9d1c-44af7c598a42,,"CON 1 SDS PT LOTS 13,14 RP 20R13924 PART 2



",43.48016443375556,-79.71711840664919
4938,2523917,2021 118894 000 00 SA,"Installation of automatic door operators on limited number of existing doors.  No changes to existing doors and maglocks.  The new automatic door openers are not serving to provide barrier free access, only touch less entry due to COVID-19.",203 Georgian Dr,SA,Long Term Care Home,Alt./Improve,1626998400000,2021-09-05,70225,Issued,100000,,300,,,,,,Renovation & Repair,Permit Issued,96f595ea-c75b-41c3-ae0f-1abbae4c1ef7,,"CON 1 SDS PT LOTS 13,14 RP 20R13924 PART 2



",43.48016443375556,-79.71711840664919
4948,2554537,2015 001369 000 00 TH,"New Model Townhouse - &quot;The Linden&quot; -  Elevations A &amp; B - Interior unit. 3 Bedroom. This lot elevation &quot;A&quot; Reverse plan (211.54m2), finished basement (23.61m2), attached garage (57.00m2), covered porches (2.20m2), complete with 2 decks. Options: without elevator. Includes water service inspection fee.",2177 Lillykin St Block K - Lot 104,TH,Row or Town House,New Const.,1439424000000,2015-11-05,108660,Closed,381000,1,211.54,,,No,1447718400000,,New Construction,Closed,2a9ec4d5-5c7e-47ad-8242-bb46e7c78cfe,,"PLAN M1162 PT BLK 8 RP 20R20529 PARTS 76, 121 AND 126 ",43.478793262572985,-79.70907140529434
4971,2523164,2024 156208 REV 01 BDP,"Revision to BP # 24-156208 includes removing fire rated windows, removing elevator and replace with a storage closet, modification to bedroom #2 window and washroom. Washroom modification to bedroom 1 and relocating window. Infill side windows on ground floor. Laundry room layout revision.
",553 Wolsey Crescent,BDP,House - Part 9 - Detached House,New Construction,1762992000000,2025-11-20,7397,Closed,5000,0,0,0,0,Yes,,,New Construction,Closed,91dd2c95-6b25-4276-a165-322656111946,2,PLAN 682 LOT 69   ,43.42787522382967,-79.7034628005524
4986,2529590,2025 105436 000 00 BDP,Proposal to construct a secondary unit and 1 existing egress window to be enlarged. Existing rear walk-out level entry door to be used as access to the new basement unit.,3221 Carding Mill Trail,BDP,House - Part 9 - Semi detached dwelling,Alteration/repair OR Alteration/finish to an existing building,1740441600000,2025-04-08,111433,Issued,75000,1,0,0,75.28,No,1765152000000,,Renovation & Repair,Permit Issued,ca3e87be-4090-4f7f-b8aa-72787f18ecdd,2,PLAN M1160 PT BLK 536 RP 20R20756 PART 7,43.47631136825062,-79.74271747904749
5015,2559069,2025 110629 000 00 BDP,"LOT SPECIFIC - Based on Model 2002 Custom Elevation A. BLK 20 &ndash; Unit 3. Construction of a 3 Storey Town House with Attached Garage, Covered Porch, Elevator 41&apos;X41&apos; Cab. Fireplace. Main and Upper Rear Balcony, Main Floor Front Balcony. Unfinished Basement, 3 PC Rought In. Finished Foyer and Cold Cellar. 3 Bedrooms
",345 Helen Lawson Lane,BDP,House - Part 9 - Town House,New Construction,1746144000000,2025-07-25,128939,Issued,380380,1,299.33,20.25,0,No,1754438400000,,New Construction,Permit Issued,33727ca5-d541-47b8-99fd-7b8c59021ba4,3,PLAN M1301 PT BLK 20 RP 20R23111 PARTS 8 AND 9,43.454446245405464,-79.67382415247005
5132,2482648,2025 124981 000 00 BDP,"Demolish existing rear concrete porch and stairs to grade. Construct new reinforced concrete porch and stairs atop existing foundation, with added footing and wall section for stair extension. Install steel guardrails, handrail, and a lockable gate on the east side to allow library staff to move materials from the parking lot. Gate to remain locked when not in use.",1274 Rebecca Street,BDP,Libraries,Alteration/repair OR Alteration/finish to an existing building,1759276800000,2025-10-31,120055,Issued,20000,,13.5,,,,,,Renovation & Repair,Permit Issued,a2bfdacf-4dde-4995-9310-bff5ba8977d6,,TRAFALGAR PLAN 1118 PT LOT 6 RP 20R21071 PART 1,43.417228303796136,-79.69820828422168
5284,2554493,2015 001371 000 00 TH,"New Townhouse - &quot;The Linden&quot; -  Interior unit. 3 Bedroom. This lot elevation &quot;B&quot; - Reverse plan (211.54m2), finished basement (23.61m2), attached garage (57.00m2), covered porches (2.20m2), complete with 2 decks. Options: with elevator. Includes water service inspection fee.",2181 Lillykin St Block K - Lot 106,TH,Row or Town House,New Const.,1439424000000,2015-11-05,108662,Closed,381000,1,211.54,,,No,1447718400000,,New Construction,Closed,4cad88ba-3e4a-4b63-9d3b-81116c7ed877,,PLAN M1162 PT BLK 8 RP 20R20529 PARTS 78 AND 119 ,43.47888689978642,-79.70911667655952
5381,2505376,2017 000480 000 00 AA,Underground parking garage repairs. Replacement of garage entrance concrete ramp slab. Concrete repairs at the P1 level suspended slab. No GFA added.,1300 Marlborough Court Unit 101,AA,Rental Apartment,Alt./Improve,1489536000000,2017-05-17,49074,Closed,440000,0,300,,,No,,,Renovation & Repair,Closed,dfc941de-d8da-457f-836f-6023aa93300f,,HALT CONDO PLAN 59 LEVEL 1 UNIT 1  ,43.469911757070015,-79.69249103356748
