row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,count,latitude,longitude,location,geometry_point,floor_area,bia,occupancy_granted_date
0-172180153,2015-06-26T00:00:00.000,2015-06-26T00:00:00.000,2015,6,Uncovered Deck Combination,To construct an uncovered deck (1.76m x 20.86m at 0.45m in Height) and a wheelchair ramp (1.20m x 6.20m) in the Side Yard.,Single Detached House (110),(03) Deck Attached,8000,0,15331 - 104 AVENUE NW,Plan 6629ET Blk 24 Lot 10,RS,4090,CANORA,1,53.546245055368345,-113.5863375482468,"{'latitude': '53.546245055368345', 'longitude': '-113.5863375482468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5863375482468, 53.546245055368345]}",,,
0-308320705,2019-04-18T00:00:00.000,2019-04-18T00:00:00.000,2019,4,Home Improvement,"To construct one side uncovered deck and one rear uncovered deck and wheelchair ramps to a Single Detached House (side deck, 3.05mm x 2.44m @1.14m in Height; rear deck, 2.44m x 2.44m @ 0.56m in Height).",Single Detached House (110),,,,8703 - 69 STREET NW,Plan 2921MC Blk 60 Lot 32,RF1,6350,KENILWORTH,1,53.521952442532694,-113.43328929922052,"{'latitude': '53.521952442532694', 'longitude': '-113.43328929922052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43328929922052, 53.521952442532694]}",,,
2-177694926,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,2016,6,Uncovered Deck Combination,"To construct an uncovered deck to Single Detached House, existing without permits (1.52m x 6.22m @ 0.76m in Height with access ramp).",Single Detached House (110),(03) Deck Attached,2500,0,14037 - 106A AVENUE NW,Plan 4677HW Blk 67A Lot 9,RS,3200,GLENORA,1,53.54996486054251,-113.5651031888186,"{'latitude': '53.54996486054251', 'longitude': '-113.5651031888186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5651031888186, 53.54996486054251]}",,,
0-156559708,2014-06-24T00:00:00.000,2014-06-24T00:00:00.000,2014,6,Uncovered Deck Combination,To construct a front uncovered deck (3.65m x 1.52m @ 0.72m in height) with an attached lift (1.24m x 1.37m).,Single Detached House (110),(03) Deck Attached,900,0,5411 - 93B AVENUE NW,Plan 2862MC Blk 41 Lot 47,RS,6550,OTTEWELL,1,53.53103650018038,-113.42157550335193,"{'latitude': '53.53103650018038', 'longitude': '-113.42157550335193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.42157550335193, 53.53103650018038]}",,,
0-279871522,2018-04-26T00:00:00.000,2018-04-26T00:00:00.000,2018,4,Uncovered Deck Combination,To construct an Uncovered Deck (Accessibility Ramp). Structure is free floating can be unbolted to access water utility area.,Single Detached House (110),(03) Deck Attached,15298,0,20837 - 92A AVENUE NW,Plan 0820681 Blk 34 Lot 3,RSF,4730,SUDER GREENS,1,53.52752617405706,-113.67760666508767,"{'latitude': '53.52752617405706', 'longitude': '-113.67760666508767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.67760666508767, 53.52752617405706]}",,,
0-151112716,2014-05-09T00:00:00.000,2014-05-09T00:00:00.000,2014,5,Uncovered Deck Combination,"To construct a front uncovered deck (7.01m x 2.59m @ 0.91m in Height, c/w wheelchair access ramp).",Single Detached House (110),(03) Deck Attached,5613,0,12234 - 49 STREET NW,Plan 3027NY Blk 8 Lot 3,RS,2090,BERGMAN,1,53.57803617942704,-113.41728061957599,"{'latitude': '53.57803617942704', 'longitude': '-113.41728061957599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41728061957599, 53.57803617942704]}",,,
0-353092173,2020-03-16T00:00:00.000,2020-03-16T00:00:00.000,2020,3,Home Improvement,"To construct exterior alterations (Driveway extension (1.61 m) to be used as a walkway and wheelchair access to the side yard), existing without permits.",Single Detached House (110),,,,2761 - WHEATON DRIVE NW,Plan 1223391 Blk 11 Lot 1,RSL,5570,WINDERMERE,1,53.44666811477654,-113.62073916498545,"{'latitude': '53.44666811477654', 'longitude': '-113.62073916498545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62073916498545, 53.44666811477654]}",,,
0-79908548,2012-11-22T00:00:00.000,2012-11-22T00:00:00.000,2012,11,Uncovered Deck Combination,To construct an uncovered deck (Wheel chair ramp 1.84m x 1.84m @ 0.91m in Height).,Single Detached House (110),(03) Deck Attached,400,0,1622 - 66 AVENUE NW,Plan 0725377 Blk 2 Lot 30,"RSF, RSF",6410,MAPLE RIDGE,1,53.50418103230763,-113.36465764104916,"{'latitude': '53.50418103230763', 'longitude': '-113.36465764104916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36465764104916, 53.50418103230763]}",,,
2-252291906,2017-06-22T00:00:00.000,2017-06-22T00:00:00.000,2017,6,Uncovered Deck Combination,"To construct a front uncovered Deck with ramp to Single Detached House (2.42m x 5.81m @ 0.72m in hight with 1.13m wide ramp), existing without permits",Single Detached House (110),(03) Deck Attached,2000,0,11915 - 137 AVENUE NW,Plan 4766KS Blk 4 Lot 1,RS,3250,KENSINGTON,1,53.59903886543986,-113.5281288477176,"{'latitude': '53.59903886543986', 'longitude': '-113.5281288477176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5281288477176, 53.59903886543986]}",,,
0-220075506,2016-05-27T00:00:00.000,2016-05-27T00:00:00.000,2016,5,Uncovered Deck Combination,To construct a rear uncovered deck (irregular shape @ 1.60m in Height) with a Outdoor wheel chair Porch lift (1.53m x 1.53m).,Single Detached House (110),(03) Deck Attached,4000,0,8749 - 84 AVENUE NW,Plan 6900R Blk 8 Lot 17,RS,6040,BONNIE DOON,1,53.51977658549051,-113.46386618486642,"{'latitude': '53.51977658549051', 'longitude': '-113.46386618486642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.46386618486642, 53.51977658549051]}",,,
3-138357962,2013-10-21T00:00:00.000,2013-10-21T00:00:00.000,2013,10,Uncovered Deck Combination,"To construct a side uncovered deck with wheelchair ramp (Deck - 3.05m x 13.41m @ 1.07m height in place of previously approved side uncovered decks - 1.22m x 1.83m and 3.048m x 6.096m, Wheelchair Ramp is 1.52m x 9.14m) exisitng without permits.",Mobile Home (130),(03) Deck Attached,15000,0,64 - MAPLE RIDGE DRIVE NW,Plan 7621821 Lot 1,RSF,6410,MAPLE RIDGE,1,53.4997659252171,-113.36174829685916,"{'latitude': '53.4997659252171', 'longitude': '-113.36174829685916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36174829685916, 53.4997659252171]}",,,
1-473442182,2023-06-06T00:00:00.000,2023-06-06T00:00:00.000,2023,6,Home Improvement,To construct interior alterations to a Single Detached House (structural changes). Installing nine helical piles to lift and stabilize existing addition.,Single Detached House (110),,27900,,11131 - 80 AVENUE NW,Plan 6904AM Blk 2 Lots 6-7,RF3,5200,GARNEAU,1,53.51591876768083,-113.51938268653022,"{'latitude': '53.51591876768083', 'longitude': '-113.51938268653022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51938268653022, 53.51591876768083]}",,,
1-441052379,2022-09-12T00:00:00.000,2022-09-12T00:00:00.000,2022,9,Home Improvement,To construct a front uncovered deck (2.44m x 2.44m @ 0.8m in Height) and ramp access to main floor (0.91m x 7.32m).,Single Detached House (110),,,,466 - EVERGREEN PARK NW,SE-5-54-23-4,"RMH, A",2270,EVERGREEN,1,53.63222399867711,-113.34865568003342,"{'latitude': '53.63222399867711', 'longitude': '-113.34865568003342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.34865568003342, 53.63222399867711]}",,,
1-476621668,2023-06-27T00:00:00.000,2023-06-27T00:00:00.000,2023,6,Home Improvement,** To construct a rear uncovered deck (2.41m x 2.87m @ 0.8m in Height).  Handrail has been added on stairs descending on both sides of deck. Stairs have been raised so that rise & run are even from the top down as per code requirement.,Single Detached House (110),,,,9321 - COOPER BEND SW,Plan 1823130 Blk 15 Lot 33,RMD,5471,CHAPPELLE,1,53.399041996944895,-113.58663679741751,"{'latitude': '53.399041996944895', 'longitude': '-113.58663679741751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58663679741751, 53.399041996944895]}",,,
1-377775215,2020-12-17T00:00:00.000,2020-12-17T00:00:00.000,2020,12,Home Improvement,"To construct interior alterations (floor joist modifications for elevator shaft, NOT to be used as an additional Dwelling).",Single Detached House (110),,25000,,432 - WILKIN WAY NW,Plan 8922862 Blk 18 Lot 62,RF1,4360,OLESKIW,1,53.49334342271462,-113.60802103873291,"{'latitude': '53.49334342271462', 'longitude': '-113.60802103873291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.60802103873291, 53.49334342271462]}",,,
1-406662713,2022-04-25T00:00:00.000,2022-04-25T00:00:00.000,2022,4,Home Improvement,"To construct an addition, exterior and interior alterations to a Single Detached House (Unenclosed Front Porch, rear kitchen addition (7.16 x 5.18m), rear attached pergola (4.42m x 5.49m), and main floor, second floor, and roof alterations to add elevator).",Single Detached House (110),,50000,,710 - ROMANIUK ROAD NW,Plan 8023001 Blk 57 Lot 7,RF1,5350,RHATIGAN RIDGE,1,53.478548988043656,-113.59361322255019,"{'latitude': '53.478548988043656', 'longitude': '-113.59361322255019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.59361322255019, 53.478548988043656]}",,,
1-361089057,2020-06-03T00:00:00.000,2020-06-03T00:00:00.000,2020,6,Home Improvement,To construct a front uncovered deck (3.05m x 1.52m @ 0.75m in Height) with wheelchair ramp.,Single Detached House (110),,,,16101 - 86 AVENUE NW,Plan 582MC Blk 2 Lot 1,RF1,4140,ELMWOOD,1,53.51832891040286,-113.59989672301928,"{'latitude': '53.51832891040286', 'longitude': '-113.59989672301928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.59989672301928, 53.51832891040286]}",,,
1-412007256,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,2021,11,Home Improvement,"To construct interior alterations to a Single Detached House (main floor renovations, converting Master bedroom ensuite to a Barrier free design with a shower and Laundry Facility).",Single Detached House (110),,12000,,4715 - 143 STREET NW,Plan 4011RS Blk 22 Lot 30,RF1,5090,BROOKSIDE,1,53.48523240559917,-113.566772073406,"{'latitude': '53.48523240559917', 'longitude': '-113.566772073406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.566772073406, 53.48523240559917]}",,,
1-458060849,2022-12-21T00:00:00.000,2022-12-21T00:00:00.000,2022,12,Home Improvement,"To construct interior alterations to a Single Detached House (Remove hot tub and install an accessible bathroom). 1 New Bathroom, Den into Bedroom.",Single Detached House (110),,50000,,3616 - 114 STREET NW,Plan 4627NY Blk 56 Lot 13,RF1,5220,GREENFIELD,1,53.47057012192644,-113.52905321167971,"{'latitude': '53.47057012192644', 'longitude': '-113.52905321167971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52905321167971, 53.47057012192644]}",,,
1-621904090,2025-10-24T00:00:00.000,2025-10-24T00:00:00.000,2025,10,Commercial Final,To replace conventional FACP with a new hybrid addressable/conventional FACP to allow for proper implementation of the elevator homing function.,Apartment Condos (315),(03) Interior Alterations,28000,0,2011 - 137 AVENUE NW,Condo Common Area (Plan 9523424),"PSN, DC2",2390,KERNOHAN,1,53.599760749910516,-113.37560197047806,"{'latitude': '53.599760749910516', 'longitude': '-113.37560197047806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.37560197047806, 53.599760749910516]}",10.76,,
1-469584609,2023-05-10T00:00:00.000,2023-05-10T00:00:00.000,2023,5,Home Improvement,"To construct a front entrance accessibility ramp to a Single Detached House (landing, 2.44m x 3.05m @ 0.50m in Height).",Single Detached House (110),,,,9223 - 184 STREET NW,Plan 7521612 Blk 36 Lot 31,RF1,4040,BELMEAD,1,53.5275996805196,-113.64166812512545,"{'latitude': '53.5275996805196', 'longitude': '-113.64166812512545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.64166812512545, 53.5275996805196]}",,,
1-368804350,2020-08-25T00:00:00.000,2020-08-25T00:00:00.000,2020,8,Home Improvement,To construct a front Uncovered Landing with ramp to a Single Detached House (1.83m x 1.22m @ 0.61m in Height).,Single Detached House (110),,3000,,2411 - 47 STREET NW,Plan 8021673 Blk 33 Lot 4,RF4,6770,WEINLOS,1,53.456329553613294,-113.41477669303804,"{'latitude': '53.456329553613294', 'longitude': '-113.41477669303804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41477669303804, 53.456329553613294]}",,,
1-437527442,2022-10-06T00:00:00.000,2022-10-06T00:00:00.000,2022,10,Home Improvement,"To construct an addition, exterior alterations and interior alterations to a Single Detached House (addition: rear addition over exiting foundation; front addition enclosing existing balcony)(exterior alterations: change the pitch on roof to later accommodate solar panels)(interior alterations: configuration and moving kitchen to top floor) and an elevator.",Single Detached House (110),,400000,,12511 - GRAND VIEW DRIVE NW,Plan 600MC Blk 8 Lot 3,RF1,5210,GRANDVIEW HEIGHTS,1,53.502008961271635,-113.5474346086247,"{'latitude': '53.502008961271635', 'longitude': '-113.5474346086247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5474346086247, 53.502008961271635]}",,,
1-587907259,2025-04-23T00:00:00.000,2025-04-23T00:00:00.000,2025,4,Home Improvement,"To construct exterior and interior alterations to a Residential Use building in the form of a Single Detached House (relocation of stairs, removal of elevator and elevation changes). Development revision. Refer to City File 502027750-007 for the building permit",Single Detached House (110),,500,,90 - SYLVANCROFT LANE NW,Plan 1222257 Unit 9,RS,3440,WESTMOUNT,1,53.546464078987555,-113.54282529689158,"{'latitude': '53.546464078987555', 'longitude': '-113.54282529689158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54282529689158, 53.546464078987555]}",,,
1-501178220,2025-04-07T00:00:00.000,2025-04-07T00:00:00.000,2025,4,Home Improvement,"To construct exterior alterations to a single detached house; construct a 256 sqm 2 storey addition, deck and ramp for the use of the resident monks as a monastery.",Single Detached House (110),,800000,,22711 - 122 AVENUE NW,Plan 9221634 Blk 2 Lot 11,RR,4477,KINGLET GARDENS,1,53.575577192946895,-113.70706616911033,"{'latitude': '53.575577192946895', 'longitude': '-113.70706616911033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.70706616911033, 53.575577192946895]}",,,
1-429868624,2022-05-27T00:00:00.000,2022-05-27T00:00:00.000,2022,5,Home Improvement,To construct interior alterations to a Single Detached House (installing Elevator). Elevator installation from main floor to second floor.,Single Detached House (110),,17000,,5044 - MCLUHAN ROAD NW,Plan 0626895 Blk 14 Lot 26,RSL,5477,MACTAGGART,1,53.43703457958034,-113.56391095519056,"{'latitude': '53.43703457958034', 'longitude': '-113.56391095519056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.56391095519056, 53.43703457958034]}",,,
