address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
10508 - 119 STREET NW,QUEEN MARY PARK,O-day'min Ward,53.54829515763309,-113.52754415489494,yes,building+development,2,1,1,barrier-free; ramp,2017-09-25T00:00:00.000,2018-06-28T00:00:00.000,4-254715985,254726399-001,"To construct exterior alterations to an existing Apartment House (barrier-free ramp, railing and new stairs)",development
10527 - 56 AVENUE NW,PLEASANTVIEW,papastew Ward,53.49296115865637,-113.50200843106205,yes,building+development,2,1,1,lift,2018-09-17T00:00:00.000,2019-03-28T00:00:00.000,1-289649754,289660168-001,"To construct uncovered decks and an addition to a Single Detached House (rear addition, 4.65m x 7.94m, rear uncovered decks 3.61m x 7.94m & 3.10m x 2.10m) and front uncovered deck with lift 2.13m x 2.13m).",development
10810 - 65 AVENUE NW,ALLENDALE,papastew Ward,53.502274199765566,-113.50996860976697,yes,building+development,2,1,1,wheelchair,2016-10-14T00:00:00.000,2016-10-14T00:00:00.000,12-150258396,150268810-013,"To construct a side uncovered deck to a Single Detached House (extention of front deck to the back of house for wheelchair access, approx 1.2m x 16.30m)",development
11312 - 53 AVENUE NW,LENDRUM PLACE,papastew Ward,53.48996514866738,-113.52160103096071,yes,building+development,2,1,1,ramp,2017-05-29T00:00:00.000,2017-06-23T00:00:00.000,1-252376429,252386843-001,To construct an Addition to a Single Detached House (porch with ramp 2.49m x 6.39m)(existing without permits),development
"116, 905 - BLACKLOCK WAY SW",BLACKBURNE,Ipiihkoohkanipiaohtsi Ward,53.43272947505319,-113.50834792676088,yes,building+development,2,1,1,barrier-free,2019-11-27T00:00:00.000,2019-11-27T00:00:00.000,3-341857468,341867882-002,To construct Exterior and Interior Alteration to existing suite in an apartment condo - barrier free upgrades - Scott Residence,development
11618 - 100 AVENUE NW,WÎHKWÊNTÔWIN,O-day'min Ward,53.53926312216501,-113.52240485854878,yes,building+development,2,1,1,ramp,2021-07-08T00:00:00.000,2021-07-08T00:00:00.000,2-391750481,391760895-002,To construct exterior alterations to a parkade for an apartment condo building (ramp repairs) - Ravine Mansion.,development
11619 - 139 STREET NW,WOODCROFT,Anirniq Ward,53.5687326161496,-113.561012474445,yes,building+development,2,1,1,ramp,2017-09-26T00:00:00.000,2017-10-19T00:00:00.000,1-252157857,252168271-001,"To construct an addition to a Single Detached House (attached Garage with internal ramp, and a second Storey) and to demolish the existing attached Garage and breezeway.",development
11622 - 127 AVENUE NW,CALDER,Anirniq Ward,53.585182906177906,-113.52315433917086,yes,building+development,2,1,1,ramp,2016-03-23T00:00:00.000,2016-04-25T00:00:00.000,1-181083257,181093671-001,"To construct an addition to a Single Detached House (rear single story addition, 6.10m x 7.32m) and a side uncovered deck  (2.44m x 1.68m), with ramp (1.31m x 5.59m @1.22m in Height).",development
11647 - 71 STREET NW,BELLEVUE,Métis Ward,53.570047598436005,-113.45080639187469,yes,building+development,2,1,1,accessible; ramp,2018-02-12T00:00:00.000,2018-02-16T00:00:00.000,1-274444017,274454431-001,"To construct exterior alterations to an existing Single Detached House (front access ramp, landing and front uncovered Deck @ 1.19m in Height).",development
11912 - 90 STREET NW,ALBERTA AVENUE,Métis Ward,53.57238404313897,-113.48016681843188,yes,building+development,2,1,1,ramp; wheelchair,2018-06-14T00:00:00.000,2018-06-28T00:00:00.000,3-282962500,282972914-003,"To construct an addition and uncovered deck to a Single Detached House (rear cover over existing rear deck, 1.98m x 3.05m), rear wheelchair ramp with landing (1.26m x 1.23m), and front uncovered deck landing (1.32m x 1.68m @ 0.9m in Height), existing without permits.",development
11915 - 137 AVENUE NW,KENSINGTON,Anirniq Ward,53.59904032635973,-113.52812752682925,yes,building+development,2,1,1,ramp,2017-06-22T00:00:00.000,2017-06-22T00:00:00.000,2-252291906,252302320-003,"To construct a front uncovered Deck with ramp to Single Detached House (2.42m x 5.81m @ 0.72m in hight with 1.13m wide ramp), existing without permits",development
12124 - 83 STREET NW,EASTWOOD,Ward 7,53.57598260968342,-113.46958208570743,yes,building+development,2,1,1,ramp; wheelchair,2017-03-21T00:00:00.000,2017-06-20T00:00:00.000,3-231264948,231275362-002,"To construct interior (main and basement renovations) and exterior alterations (adding a wheelchair ramp at the front, and to develop at grade decks at the back) to Semi-detached House building.1- bedroom, 1- bathroom 1-mech. room, 1- storage room, 1-den, 1- rec. area",development
12406 - 18A AVENUE SW,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,53.41631959961411,-113.53550470155713,yes,building+development,2,1,1,barrier-free; ramp; wheelchair,2015-07-30T00:00:00.000,2015-08-18T00:00:00.000,5-51855687,051866101-005,"To construc an exterior alterations (barrier free access addition for wheelchair, 15.54m in length) in front yard to an existing Single Detached House.",development
13431 - 118 AVENUE NW,WOODCROFT,Anirniq Ward,53.570037567534456,-113.55416928424685,yes,building+development,2,1,1,barrier-free; ramp; wheelchair,2018-02-21T00:00:00.000,2018-06-15T00:00:00.000,2-269989630,270000044-001,"To construct interior and exterior alterations to a Health Services Building, enclose existing front covered verandah to create an unheated entry, construct Unenclosed Front Porch - 1.67 m x 1.52 m, façade improvement, and to construct a barrier free ramp.",development
13632 - RAVINE DRIVE NW,GLENORA,Nakota Isga Ward,53.54012958230098,-113.55850602743303,yes,building+development,2,1,1,lift,2023-03-07T00:00:00.000,2023-11-09T00:00:00.000,7-447829658,447840072-002,"To construct a Single Detached House with rear Garage attached via a breezeway connection, Unenclosed Front Porch, balcony, rooftop patio, Basement development (NOT to be used as an additional Dwelling), fireplace, elevator.",development
14 - OAK RIDGE DRIVE NW,MAPLE RIDGE,Sspomitapi Ward,53.503389673375764,-113.36277298735689,yes,building+development,2,1,1,barrier-free; ramp,2015-11-18T00:00:00.000,2015-11-19T00:00:00.000,1-182376929,182387343-001,To construct exterior alterations to a Mobile Home (access ramp).,development
14 - WEST VIEW BOULEVARD NW,WESTVIEW VILLAGE,Nakota Isga Ward,53.5521995183539,-113.69703236472066,yes,building+development,2,1,1,accessible; ramp,2018-07-10T00:00:00.000,2018-07-10T00:00:00.000,0-287180996,287191410-001,To construct a side uncovered deck to a mobile home (11.28m x 1.52m @ 0.81m in Height) with accessibility ramp.,development
14015 - 106 AVENUE NW,GLENORA,Nakota Isga Ward,53.54857235045884,-113.56401379116224,yes,building+development,2,1,1,lift,2018-07-10T00:00:00.000,2018-08-17T00:00:00.000,1-282672211,282682625-001,"To construct a addition and exterior alterations to a Single Detached House (enclose portion of rear porch, 3.96m x 1.68m, and add elevator and alteration to the main and basement).",development
14639 - 92A AVENUE NW,PARKVIEW,sipiwiyiniwak Ward,53.5263211740387,-113.57401735922681,yes,building+development,2,1,1,lift,2023-02-02T00:00:00.000,2023-06-13T00:00:00.000,2-457405689,457416103-002,"To construct a Single Detached House with rear attached Garage, rear covered sunroom, elevator, fireplace and Basement development (NOT to be used as an additional Dwelling).",development
15331 - 104 AVENUE NW,CANORA,Nakota Isga Ward,53.54624706055964,-113.58633833636569,yes,building+development,2,1,1,ramp; wheelchair,2015-06-26T00:00:00.000,2015-06-26T00:00:00.000,0-172180153,172190567-001,To construct an uncovered deck (1.76m x 20.86m at 0.45m in Height) and a wheelchair ramp (1.20m x 6.20m) in the Side Yard.,development
1534 - HOWES PLACE SW,HAYS RIDGE AREA,Ipiihkoohkanipiaohtsi Ward,53.413905366855076,-113.57294521133946,yes,building+development,2,1,1,lift,2023-10-20T00:00:00.000,2023-10-31T00:00:00.000,2-485925934,485936348-002,"To construct a Single Detached House with front attached Garage, Unenclosed Front Porch, rear uncovered deck (14.17m x 4.27m) over walkout Basement, front and rear balconies, sunroom, fireplace and elevator.",development
155 - WINDERMERE DRIVE NW,WINDERMERE,pihêsiwin Ward,53.44225671804702,-113.62512766099434,yes,building+development,2,1,1,lift,2023-11-08T00:00:00.000,2024-07-03T00:00:00.000,2-484508299,484518713-002,"To construct a Single Detached House with front attached Garage, Unenclosed Front Porch, rear covered deck (24.18m x 8.84m), balconies, exterior hot tub, outdoor kitchen, roof top deck, fireplace, elevator, and Basement development (NOT to be used as an additional Dwelling)",development
"16, 500 - LESSARD DRIVE NW",GARIEPY,sipiwiyiniwak Ward,53.491300369363216,-113.61693280650809,yes,building+development,2,1,1,lift,2015-07-09T00:00:00.000,2015-07-23T00:00:00.000,1-173763228,173773642-001,"To construct interior alterations (Main floor: adding laundry room, relocating fireplace and kitchen; 2nd floor: removing bathroom walls; All floors: adding an elevator shaft) and exterior alterations (Main floor: adding 2 windows and enlarging patio door on the South side) to an existing Rowhouse.",development
17240 - 115 STREET NW,CANOSSA,Anirniq Ward,53.634137400428855,-113.52433815179393,yes,building+development,2,1,1,lift,2016-01-20T00:00:00.000,2016-02-09T00:00:00.000,1-185664608,185675022-001,To construct an addition (elevator shaft) to an existing Single Detached House.,development
18 - WINDERMERE DRIVE SW,WINDERMERE,pihêsiwin Ward,53.43089575187735,-113.63177551703234,yes,building+development,2,1,1,lift,2023-07-05T00:00:00.000,2023-08-28T00:00:00.000,2-471290575,471300989-002,"To construct a Single Detached House with front attached Garage, Unenclosed front porch, elevator, Basement development (NOT to be used as an additional Dwelling) with wet bar, fireplaces, main floor partially covered deck  (17.98m x 5.79m with Balcony above 6.71m x 6.40m, rear sunken patio and walkout Basement.",development
"2, 9320 - 152A AVENUE NW",EVANSDALE,,53.614287580891585,-113.48501932033584,yes,building,2,2,0,barrier-free,2021-03-02T00:00:00.000,2021-03-02T00:00:00.000,76-359368587; 74-359368587,,Move on 1 barrier-free dwelling construct shared deck - Homes for Heroes Village (BF 2).,parcel_geocode
207 - WINDERMERE DRIVE NW,WINDERMERE,pihêsiwin Ward,53.44524956402306,-113.62213568850494,yes,building+development,2,1,1,lift,2023-10-20T00:00:00.000,2024-03-20T00:00:00.000,2-485949225,485959639-002,"To construct a Single Detached House with two front attached Garages, Unenclosed Front Porch, 4 balconies, rear 4 season room (5.59m x 3.66m), rear partially covered deck, elevator, roof top deck, fireplaces and Basement development (NOT to be used as an additional Dwelling).",development
20837 - 92A AVENUE NW,SUDER GREENS,Nakota Isga Ward,53.52754131081757,-113.67760052950564,yes,building+development,2,1,1,accessible; ramp,2018-04-26T00:00:00.000,2018-04-26T00:00:00.000,0-279871522,279881936-001,To construct an Uncovered Deck (Accessibility Ramp). Structure is free floating can be unbolted to access water utility area.,development
211 - WINDERMERE DRIVE NW,WINDERMERE,pihêsiwin Ward,53.44550983270632,-113.62195175727774,yes,building+development,2,1,1,lift,2022-04-29T00:00:00.000,2022-08-04T00:00:00.000,2-429160135,429170549-002,"To construct a Single Detached House with front attached Garage, Unenclosed Front Porch, rear uncovered deck ( 6.71m x 9.75m)                  covered deck (5.37m x 14.38m) fireplace, Basement development (NOT to be used as an additional Dwelling) and balcony, Elevator",development
232 - GRANDISLE POINT NW,RIVERVIEW AREA,sipiwiyiniwak Ward,53.43525410505334,-113.65578501466123,yes,building+development,2,1,1,lift,2017-04-20T00:00:00.000,2017-05-08T00:00:00.000,7-227693549,227703963-007,"To construct interior alterations to a Single Detached House (installing an elevator, 1.38m x 1.35m)",development
323 - 153 AVENUE NW,RURAL NORTH EAST SOUTH STURGEON,Dene Ward,53.611255957956786,-113.34789582898306,yes,building+development,2,1,1,lift,2024-04-02T00:00:00.000,2025-11-12T00:00:00.000,2-473408572,473418986-002,"To construct a Residential Use building in the form of a Single Detached House with front attached Garages, rear covered deck (12.65m x 4.88m), unenclosed front porch, fireplace, elevator, balcony, wet bar on third floor, and Basement development with wet bar (NOT to be used as an additional Dwelling - 2 bedrooms, 2 bathrooms, rec area, theatre room, 2 mechanical rooms, storage room).",development
4135 - CAMERON HEIGHTS POINT NW,CAMERON HEIGHTS,sipiwiyiniwak Ward,53.47754279538237,-113.62749279943398,yes,building+development,2,1,1,lift,2021-04-26T00:00:00.000,2021-10-05T00:00:00.000,2-388820492,388830906-002,"To construct a Single Detached House with front attached Garage, veranda, elevator, rear covered deck (with hot tub), fireplace, side door entrance (with landing), walkout Basement, and Basement development (NOT to be used as an additional Dwelling).",development
4811 - 174 AVENUE NW,CY BECKER,Dene Ward,53.635346214545635,-113.41564052692978,yes,building+development,2,1,1,lift,2022-01-28T00:00:00.000,2022-03-08T00:00:00.000,2-420980290,420990704-002,"To construct a Single Detached House with front attached Garage, Basement development (NOT to be used as an additional Dwelling), rear uncovered deck (3.05m x 4.11m), Unenclosed Front Porch, Side Entrance  and Elevator.",development
5118 - 17A AVENUE NW,MEYOKUMIN,Karhiio Ward,53.447493267968696,-113.4215942800484,yes,building+development,2,1,1,accessible; ramp,2018-10-29T00:00:00.000,2018-10-29T00:00:00.000,1-296309838,296320252-001,"To construct exterior alterations to a Single Detached House, (front uncovered deck, irregular shape 2.68m x 2.54m @ 0.41m in Height with Accessibility Ramp, 1.10m x 5.69m).",development
515 - HILLCREST POINT NW,PATRICIA HEIGHTS,sipiwiyiniwak Ward,53.50452488528147,-113.59241776682879,yes,building+development,2,1,1,lift,2024-06-03T00:00:00.000,2024-07-16T00:00:00.000,2-506030875,506041289-002,"To construct a Residential Use Single Detached House with a front attached Garage, balcony, Basement development (NOT to be used as an additional Dwelling), covered deck, fireplace, unenclosed front porch, walkout Basement. Elevator installation requires separate permits.",development
55A - FAIRWAY DRIVE NW,WESTBROOK ESTATES,papastew Ward,53.47272759755799,-113.54692742167069,yes,building+development,2,1,1,lift,2022-08-22T00:00:00.000,2023-05-11T00:00:00.000,2-434066571,434076985-002,"To construct a Single Detached House with front attached Garage, elevated entryway (at 1.85m above grade), Unenclosed Front Porch, Basement development (NOT to be used as an additional Dwelling), rear covered deck, rooftop terrace with hot tub, elevator and fireplace.",development
55B - FAIRWAY DRIVE NW,WESTBROOK ESTATES,papastew Ward,53.47272830297355,-113.54715354462222,yes,building+development,2,1,1,lift,2022-10-11T00:00:00.000,2022-12-12T00:00:00.000,2-434093277,434103691-002,"To construct a Single Detached House with front attached Garage, Unenclosed Front Porch, Basement development with wet bar (NOT to be used as an additional Dwelling), exterior hot tub, fireplace, roof top deck, elevator and rear uncovered deck (7.21m x 4.27m).",development
6 - DONSDALE CRESCENT NW,DONSDALE,sipiwiyiniwak Ward,53.481680875785294,-113.63010461830376,yes,building+development,2,1,1,lift,2024-09-10T00:00:00.000,2025-08-14T00:00:00.000,2-472379492,472389906-002,"To construct a Single Detached House with front and side attached Garages, Unenclosed Front Porch, balconies, uncovered deck and covered deck over walkout Basement, rooftop terrace, elevator, exterior hot tub, sunroom with wet bar, and Basement development with wet bar (NOT to be used as an additional Dwelling).",development
6931 - 83 AVENUE NW,KENILWORTH,Métis Ward,53.51876520466084,-113.4353187671208,yes,building+development,2,1,1,accessible; ramp,2016-08-18T00:00:00.000,2016-08-18T00:00:00.000,2-224999610,225010024-003,To construct a rear uncovered deck (6.20 m x 3.17 m @ 0.80 m in Height) with a rear accessible ramp.,development
7305B - 155 STREET NW,RIO TERRACE,sipiwiyiniwak Ward,53.50530960228231,-113.58866171052583,yes,building+development,2,1,1,lift,2023-08-11T00:00:00.000,2023-08-25T00:00:00.000,2-473304501,473314915-002,"To construct a Single Detached House with front attached Garage, unenclosed front porch, elevator, front balconies, rooftop terrace and Basement development (NOT to be used as an additional Dwelling).",development
7811 - SASKATCHEWAN DRIVE NW,BELGRAVIA,papastew Ward,53.51450466714073,-113.53682689489548,yes,building+development,2,1,1,lift,2021-03-15T00:00:00.000,2022-01-06T00:00:00.000,8-374965522,374975936-002,"To construct a Single Detached House with an Unenclosed Front Porch, balcony, rear covered deck (4.83m x 4.50m), rear attached Garage, rooftop patio, elevator, fireplace, and basement development.",development
8051 - CHAPPELLE WAY SW,CHAPPELLE AREA,Ipiihkoohkanipiaohtsi Ward,53.40094405,-113.582811129,yes,building+development,2,1,1,ramp,2015-09-16T00:00:00.000,2015-09-23T00:00:00.000,3-177185401,177195815-001,"To construct 3 Dwellings of Row Housing with verandas, uncovered rear decks, wooden ramp and to operate a Residential Sales Center for a maximum of 2 years.",development
8330 - ROWLAND ROAD NW,FOREST HEIGHTS,Métis Ward,53.55002480277972,-113.45676607169801,yes,building+development,2,1,1,lift,2018-01-10T00:00:00.000,2018-01-10T00:00:00.000,0-254960278,254970692-001,"To construct a Single Detached House with an Unenclosed Front Porch,  attached Garage, rear uncovered deck (6.64m x 3.68m), fireplace, elevator, Basement Development (NOT to be used as an additional Dwelling), and Rooftop Terrace.",development
8332 - ROWLAND ROAD NW,FOREST HEIGHTS,Métis Ward,53.5499884791013,-113.45690162385155,yes,building+development,2,1,1,lift,2018-01-10T00:00:00.000,2018-01-10T00:00:00.000,0-254963861,254974275-001,"To construct a Single Detached House with an Unenclosed Front Porch,  attached Garage, rear uncovered deck (6.64m x 3.68m), fireplace, elevator, Basement Development (NOT to be used as an additional Dwelling), and Rooftop Terrace.",development
8359 - 120 STREET NW,WINDSOR PARK,papastew Ward,53.52221211091745,-113.53680925916967,yes,building+development,2,1,1,lift,2023-05-29T00:00:00.000,2023-06-28T00:00:00.000,2-456848299,456858713-002,"To construct a Single Detached House with an Unenclosed Front Porch, rear attached Garage,  rear uncovered deck (6.20m x 3.51m), irregular shape rear covered deck (4.71m x 4.43m), indoor swimming pool & hot tub, balcony, fireplac, Basement development (NOT to be used as an additional Dwelling) Permit does NOT include Future Elevator",development
8749 - 84 AVENUE NW,BONNIE DOON,Métis Ward,53.519778311329816,-113.46386664683008,yes,building+development,2,1,1,lift; wheelchair,2016-05-27T00:00:00.000,2016-05-27T00:00:00.000,0-220075506,220085920-001,To construct a rear uncovered deck (irregular shape @ 1.60m in Height) with a Outdoor wheel chair Porch lift (1.53m x 1.53m).,development
8803 - 101 AVENUE NW,RIVERDALE,O-day'min Ward,53.54338375840108,-113.46655133833299,yes,building+development,2,1,1,accessible; ramp,2017-06-27T00:00:00.000,2017-07-05T00:00:00.000,1-246857818,246868232-001,"To construct exterior alterations to ""Sundance Housing Co-op"" apartment house (accessibility ramp for the main entrance).",development
9420 - 92 STREET NW,STRATHEARN,Métis Ward,53.531011846678226,-113.46918959204163,yes,building+development,2,1,1,ramp,2020-05-12T00:00:00.000,2020-11-12T00:00:00.000,7-303549759,303560173-001,"To construct Interior and Exterior Alterations: new parkade access ramp from 92 Street, complete with new garage door AND convert basement storage space to underground parkade, new mechanical shaft at grid grid 1 and new man door at grid T.  (Montgomery Place).",development
9533 - 74 AVENUE NW,RITCHIE,papastew Ward,53.51011350818968,-113.47530990896615,yes,building+development,2,1,1,lift,2018-07-19T00:00:00.000,2018-07-19T00:00:00.000,0-277606134,277616548-001,"To construct a Single Detached House, fireplace, elevator, veranda (3.05m x 2.44m), uncovered rear deck (triangle shaped 5.6mx 6.9m), Basement development with wet bar (NOT to be used as an additional Dwelling) and to demolish the existing Single Detached House",development
"1, 1112 - HERMITAGE ROAD NW",OVERLANDERS,,,,no,building,1,1,0,lift,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,1-597890499,,"To construct Interior Alterations in Two stand-alone residential apartment buildings, including Elevator and Fire Alarm System upgrade and limitations. Elevator improvements: Upgrade of Firefighters' Emergency Operation, elevator recall, controllers and operating fixtures. Fire Alarm; Replace existing Fire Alarm Control Panel with new addressable f.a.c.p.. Replace existing f.a. initiating devices with new addressable models.  Re-connect existing f.a. notification circuits to the new f.a. panel. Buildings, 1112 Hermitage Rd  & 1122 Hermitage Rd - Christopher County.",none
"1, 17810 - 97 STREET NW",ELSINORE,tastawiyiniwak Ward,53.640002025,-113.493189069,yes,development,1,0,1,ramp,2016-11-04T00:00:00.000,2016-11-04T00:00:00.000,,139391997-006,"To construct exterior alterations to an Apartment House (parkade ramp relocation, Building 1).",development
"100, 8920 - 100 STREET NW",STRATHCONA,,53.52497898132093,-113.48949204144569,yes,building,1,1,0,ramp,2023-07-24T00:00:00.000,2023-07-24T00:00:00.000,3-345845558,,"Exterior Alteration - Demolition of existing concrete topping and membrane on parkade roof slab. Install new membrane, insulation and concrete topping. New access ramp to parkade roof slab. New garbage enclosure",parcel_geocode
10045 - 117 STREET NW,WÎHKWÊNTÔWIN,,,,no,building,1,1,0,ramp,2011-04-14T00:00:00.000,2011-04-14T00:00:00.000,0-109116717,,To construct exterior alterations (maintenance) (parkade access ramp) to an existing Apartment Building (Riverview Towers).,none
10050 - 118 STREET NW,WÎHKWÊNTÔWIN,,53.540339655859974,-113.52550848795742,yes,building,1,1,0,ramp,2020-07-15T00:00:00.000,2020-07-15T00:00:00.000,1-365017563,,"To construct interior alterations to parkade level of residential condo building.  ""Park Place Condominiums 2020 Parkade Repair Program"" (Repair entrance ramp, and replace two floor drains and sump framing in slab)",parcel_geocode
"101, 5403 - 7 AVENUE SW",CHARLESWORTH,Karhiio Ward,53.4256736601843,-113.42677955909178,yes,development,1,0,1,ramp,2023-07-25T00:00:00.000,2023-07-25T00:00:00.000,,474695661-002,"A revision to DP 377204962-002: To reduce the number of Dwellings from 212 to 176 and reduce the height of the building, relocate the ramp and waste collection area, and construct exterior and interior alterations.",development
"101, 6210 - TERRACE ROAD NW",TERRACE HEIGHTS,,53.53956269630715,-113.42806255609334,yes,building,1,1,0,barrier-free,2022-09-17T00:00:00.000,2022-09-17T00:00:00.000,1-435444710,,To construct Interior Alterations to suite #111 (create a barrier-free suite).,parcel_geocode
10125 - 109 STREET NW,DOWNTOWN,,53.542223218115225,-113.50787636554428,yes,building,1,1,0,barrier-free; ramp,2016-05-24T00:00:00.000,2016-05-24T00:00:00.000,2-187890524,,"To construct exterior alterations to an existing business / residential building.  New barrier free ramps access points, waterproofing of suspended slab & landscaping.",parcel_geocode
10128 - 121 STREET NW,WÎHKWÊNTÔWIN,O-day'min Ward,53.54186504986578,-113.53131850288241,yes,development,1,0,1,barrier-free; lift; ramp,2024-08-02T00:00:00.000,2024-08-02T00:00:00.000,,509790207-002,"To change the use of a Personal Service Shop to a Professional Office, and construct an addition and exterior alterations to the existing building (new elevator addition, barrier free ramp, front yard landscaping and deck).",development
10143 - CLIFTON PLACE NW,WESTMOUNT,,53.54187736303932,-113.53950255786542,yes,building,1,1,0,lift,2025-11-26T00:00:00.000,2025-11-26T00:00:00.000,27-418579292,,To construct SHORING AND EXCAVATION ONLY for future apartment building - The Clifton.,parcel_geocode
10148 - 118 STREET NW,WÎHKWÊNTÔWIN,,53.54202423206291,-113.52550778381337,yes,building,1,1,0,lift,2017-08-23T00:00:00.000,2017-08-23T00:00:00.000,1-257336311,,Supply and install a new Mircom FX2000 addressable fire alarm panel  Supply and install one new smoke detector in front of elevator on each floor for elevator homing Replace heat detector in elevator room with smoke detector Programming Relays for elevator tie-in,parcel_geocode
10154 - 104 STREET NW,DOWNTOWN,,,,no,building,1,1,0,lift,2011-10-13T00:00:00.000,2011-10-13T00:00:00.000,1-111183738,,To construct interior alterations to an existing mixed use high rise building (landlord work to remove 4th floor elevator lobby partitions and subdivde the office space with a new demising wall)  Icon Tower - Phase 2.,none
10173 - 93 STREET NW,RIVERDALE,O-day'min Ward,53.54486452363322,-113.47433824575029,yes,development,1,0,1,lift,,,,436536873-002,"To construct a Single Detached House with rear attached Garage, Unenclosed Front Porch, rear covered deck (6.00m x 3.66m), balcony, fireplace, rooftop patio, wet bar, elevator, Garage level development (NOT to be used as an additional Dwelling) and to develop a Secondary Suite in the Basement.",development
